"C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M","GEO_ID","NAME"
"764687","867","383580","605","296167","597","239007","1510","2109","322","236898","1496","227607","1610","9291","747","57160","1461","87413","149","20290","729","19828","715","462","106","67123","750","381107","538","286712","549","211415","1748","383","135","211032","1751","204350","1885","6682","584","75297","1640","94395","169","14473","604","14123","588","350","122","79922","637","0400000US30","Montana"
"1321071","1941","651523","1137","525962","1146","450745","1612","4160","400","446585","1701","432797","1709","13788","794","75217","1507","125561","220","35802","850","35251","812","551","130","89759","835","669548","1130","515294","1140","405457","1603","699","146","404758","1614","393265","1652","11493","662","109837","1603","154254","193","27218","782","26889","770","329","79","127036","802","0400000US31","Nebraska"
"1595652","4933","809553","2820","635227","2809","509248","2815","5277","457","503971","2780","475415","2957","28556","1309","125979","2234","174326","630","34842","943","32729","933","2113","262","139484","1039","786099","2813","601175","2604","417974","2689","979","216","416995","2716","393634","2821","23361","1025","183201","2681","184924","598","28069","899","26976","868","1093","203","156855","1025","0400000US32","Nevada"
"1050226","1123","514807","789","409949","766","342796","1838","1536","342","341260","1858","327667","1990","13593","881","67153","1788","104858","123","27740","869","27057","873","683","130","77118","870","535419","631","410698","630","316633","1735","103","92","316530","1727","306662","1710","9868","770","94065","1771","124721","129","22888","933","22350","921","538","148","101833","939","0400000US33","New Hampshire"
"4942013","7187","2396810","4179","1912803","3981","1573905","5221","5618","488","1568287","5138","1491816","5238","76471","2128","338898","4485","484007","876","131725","1628","126380","1597","5345","385","352282","1665","2545203","3797","1911619","3580","1401208","4863","1025","238","1400183","4855","1335130","5002","65053","1825","510411","4196","633584","1088","105755","1948","101582","1958","4173","424","527829","2026","0400000US34","New Jersey"
"1263319","4306","619964","2567","483532","2546","361849","2747","6666","709","355183","2851","331383","2890","23800","1467","121683","2613","136432","704","26840","932","25803","948","1037","198","109592","1162","643355","2627","483265","2496","318345","3134","1127","263","317218","3124","300187","2957","17031","1104","164920","3078","160090","796","23457","875","22629","866","828","201","136633","1198","0400000US35","New Mexico"
"10358260","12158","5031656","7565","4002063","7252","3188880","9245","15190","702","3173690","9133","3024988","9206","148702","2730","813183","6945","1029593","1688","250527","2940","242159","2939","8368","583","779066","3250","5326604","6051","3999754","5656","2900935","7675","1867","265","2899068","7634","2779412","7402","119656","2415","1098819","6393","1326850","1651","208646","2424","202787","2334","5859","490","1118204","2708","0400000US36","New York"
"5797723","5799","2822080","3108","2244429","3101","1800229","5987","66236","1815","1733993","5809","1658259","6090","75734","2126","444200","5392","577651","580","124442","1968","121289","1958","3153","372","453209","2048","2975643","3391","2254312","3263","1556640","5991","4763","524","1551877","5968","1478164","6559","73713","2493","697672","5593","721331","524","95189","1708","92735","1617","2454","373","626142","1814","0400000US37","North Carolina"
"529248","749","270295","570","220347","568","189493","1047","4657","451","184836","1023","180371","1181","4465","476","30854","988","49948","73","13712","547","13494","567","218","80","36236","547","258953","539","199864","515","158869","1072","597","152","158272","1061","154989","1154","3283","394","40995","1127","59089","96","9425","396","9317","394","108","48","49664","407","0400000US38","North Dakota"
"7754705","3803","3771465","2244","3010361","2255","2414203","5235","5950","549","2408253","5272","2294271","6023","113982","2148","596158","5165","761104","409","164568","2182","160334","2207","4234","408","596536","2169","3983240","2396","3020386","2215","2192596","5673","1265","238","2191331","5685","2100958","6111","90373","2319","827790","5354","962854","479","134143","2123","130627","2058","3516","392","828711","2216","0400000US39","Ohio"
