"C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M","GEO_ID","NAME"
"4189139","1850","2050073","1545","1787237","1587","1443688","4203","8181","785","1435507","4302","1370228","4712","65279","2116","343549","4415","262836","239","55346","1543","52935","1535","2411","386","207490","1551","2139066","1514","1769204","1520","1213650","5995","1655","354","1211995","6035","1139706","6219","72289","2572","555554","5861","369862","284","40309","1617","38657","1558","1652","312","329553","1625","0400000US12","Florida"
"665123","1109","351440","931","334432","959","278184","1567","5835","524","272349","1647","263814","1821","8535","715","56248","1422","17008","520","4935","516","4692","512","243","122","12073","705","313683","915","292743","1011","180815","1983","768","203","180047","1961","168888","2104","11159","879","111928","2068","20940","580","3307","501","3218","505","89","79","17633","609","0400000US13","Georgia"
"97847","243","50231","164","46800","162","37992","556","6126","463","31866","723","30005","733","1861","350","8808","560","3431","*****","803","151","746","126","57","62","2628","150","47616","192","43274","192","29878","679","973","210","28905","719","27127","758","1778","309","13396","679","4342","*****","796","168","770","166","26","23","3546","168","0400000US15","Hawaii"
"143364","524","74267","444","69523","468","56386","833","307","134","56079","855","53531","934","2548","403","13137","844","4744","174","1483","262","1421","259","62","56","3261","277","69097","405","63978","478","42746","1082","124","86","42622","1094","40088","1062","2534","423","21232","1094","5119","295","672","173","672","173","0","28","4447","318","0400000US16","Idaho"
"1553013","1182","795162","988","735283","1000","612646","2083","2133","480","610513","2182","574062","2390","36451","1422","122637","2283","59879","317","12282","702","11702","691","580","179","47597","743","757851","991","686936","992","466984","2604","637","195","466347","2617","433432","2751","32915","1397","219952","2632","70915","200","8533","667","8272","657","261","105","62382","655","0400000US17","Illinois"
"305387","601","158599","691","149027","713","121581","1159","268","126","121313","1168","115561","1227","5752","630","27446","1033","9572","360","2113","308","1968","273","145","99","7459","437","146788","693","135672","747","86653","1305","94","85","86559","1310","80608","1427","5951","640","49019","1363","11116","410","1772","284","1662","270","110","63","9344","404","0400000US18","Indiana"
"122164","330","63249","506","60318","485","51066","576","142","74","50924","578","48059","594","2865","344","9252","466","2931","204","821","151","751","146","70","54","2110","182","58915","386","55385","422","38222","823","27","30","38195","818","35450","799","2745","379","17163","828","3530","193","623","143","605","143","18","20","2907","213","0400000US19","Iowa"
"227644","538","118604","554","110918","570","93808","857","2618","329","91190","933","86507","941","4683","528","17110","876","7686","250","2316","283","2277","280","39","27","5370","314","109040","556","100588","545","69839","1173","329","115","69510","1169","64898","1306","4612","579","30749","1072","8452","198","1530","226","1451","224","79","57","6922","280","0400000US20","Kansas"
"105892","729","58472","740","55584","715","46433","895","1794","266","44639","943","42297","952","2342","310","9151","707","2888","259","921","179","814","191","107","91","1967","235","47420","696","43911","653","28469","861","124","81","28345","869","26672","852","1673","275","15442","815","3509","257","503","159","503","159","0","27","3006","256","0400000US21","Kentucky"
"170967","686","93689","723","85207","753","69400","1005","2021","253","67379","1008","63685","1047","3694","449","15807","863","8482","409","2613","386","2557","377","56","42","5869","450","77278","529","67467","554","40269","1009","121","69","40148","1014","37090","1042","3058","433","27198","1124","9811","333","1642","223","1530","200","112","69","8169","368","0400000US22","Louisiana"
"15824","119","7980","194","7308","179","5471","293","261","148","5210","300","4918","316","292","118","1837","252","672","108","135","61","135","61","0","24","537","102","7844","169","6913","173","5192","274","0","24","5192","274","5031","289","161","75","1721","223","931","111","135","64","132","64","3","4","796","117","0400000US23","Maine"
"418898","485","218700","457","206385","465","181114","950","2732","416","178382","959","171568","1008","6814","649","25271","1031","12315","167","4811","334","4487","304","324","138","7504","321","200198","439","183518","444","132036","1428","721","168","131315","1417","123095","1503","8220","715","51482","1433","16680","127","3611","355","3498","347","113","68","13069","364","0400000US24","Maryland"
"586669","689","288750","539","268740","546","204842","1911","561","193","204281","1936","188402","2101","15879","1099","63898","1985","20010","55","4657","444","4434","439","223","90","15353","458","297919","549","269444","544","188785","1978","71","44","188714","1981","174841","2118","13873","967","80659","2014","28475","82","3429","303","3299","313","130","78","25046","308","0400000US25","Massachusetts"
"345264","501","174920","389","161314","401","128475","845","257","101","128218","844","118965","1056","9253","663","32839","830","13606","143","2609","311","2446","285","163","88","10997","323","170344","444","154617","440","103611","1253","96","74","103515","1239","96106","1373","7409","596","51006","1316","15727","137","1827","233","1738","232","89","55","13900","263","0400000US26","Michigan"
"195869","406","103030","364","98280","369","83645","629","98","73","83547","625","78702","689","4845","502","14635","639","4750","214","1115","166","1047","175","68","65","3635","249","92839","357","87563","378","63980","799","26","40","63954","807","59785","918","4169","473","23583","806","5276","174","1005","154","980","148","25","32","4271","215","0400000US27","Minnesota"
"62129","1082","35404","916","33164","941","23844","646","832","180","23012","616","21779","602","1233","263","9320","927","2240","295","620","185","620","185","0","30","1620","281","26725","585","24553","625","14006","658","272","122","13734","641","12520","679","1214","291","10547","654","2172","293","311","114","311","114","0","30","1861","271","0400000US28","Mississippi"
"170858","544","88242","590","82230","616","67818","759","1645","391","66173","823","63417","931","2756","453","14412","744","6012","289","1507","227","1423","226","84","72","4505","293","82616","558","75132","579","51046","1074","721","195","50325","1033","47376","1062","2949","375","24086","1044","7484","264","1178","186","1156","183","22","32","6306","327","0400000US29","Missouri"
"27183","279","13654","323","12545","336","9887","357","307","164","9580","371","9021","420","559","180","2658","301","1109","138","297","101","292","101","5","9","812","129","13529","288","12250","301","8782","389","157","119","8625","376","8263","385","362","150","3468","352","1279","174","251","75","247","75","4","6","1028","182","0400000US30","Montana"
"133146","407","70181","415","66366","442","55913","673","416","154","55497","691","52453","779","3044","415","10453","703","3815","214","1180","220","1142","213","38","35","2635","240","62965","363","59081","405","41626","789","156","78","41470","795","38707","811","2763","410","17455","785","3884","182","766","124","757","125","9","17","3118","220","0400000US31","Nebraska"
"603678","652","305921","536","283533","547","236227","1263","989","260","235238","1262","221935","1390","13303","806","47306","1388","22388","128","5646","443","5294","444","352","130","16742","444","297757","503","270630","509","185013","1823","348","138","184665","1826","172429","1985","12236","792","85617","1786","27127","88","3680","438","3532","412","148","98","23447","433","0400000US32","Nevada"
"36032","279","18682","241","17676","243","14377","365","129","93","14248","365","13063","456","1185","319","3299","395","1006","80","140","75","134","75","6","12","866","109","17350","169","15926","193","10999","454","45","71","10954","457","10460","413","494","175","4927","412","1424","106","345","122","337","125","8","13","1079","130","0400000US33","New Hampshire"
"1325610","949","660898","686","600905","687","493591","2222","1614","261","491977","2196","465852","2461","26125","1225","107314","2312","59993","*****","15777","785","15039","823","738","188","44216","786","664712","611","583368","611","408281","2546","288","127","407993","2553","381802","3047","26191","1275","175087","2723","81344","*****","11290","677","10848","659","442","156","70054","677","0400000US34","New Jersey"
"761039","914","374663","624","322598","637","234466","1913","1676","338","232790","1928","215308","1996","17482","1153","88132","2076","52065","71","8295","568","7879","556","416","126","43770","570","386376","640","322694","642","209515","2129","373","133","209142","2137","195922","2140","13220","942","113179","2112","63682","*****","7340","555","7102","540","238","121","56342","557","0400000US35","New Mexico"
"2816133","1280","1373461","925","1232868","934","951966","3798","3221","373","948745","3760","882679","3949","66066","2119","280902","3959","140593","182","28131","1265","26489","1229","1642","316","112462","1305","1442672","991","1233444","958","816315","4238","721","165","815594","4243","754681","4231","60913","2304","417129","4158","209228","175","23077","1178","22037","1143","1040","292","186151","1186","0400000US36","New York"
"625732","865","327475","838","312361","908","267352","1433","13649","758","253703","1603","243281","1589","10422","965","45009","1385","15114","411","4768","507","4668","496","100","83","10346","571","298257","660","280506","705","175918","2031","1755","306","174163","2065","159796","2009","14367","1006","104588","2154","17751","342","3003","349","2778","346","225","119","14748","404","0400000US37","North Carolina"
"18600","201","9966","369","9744","371","8292","437","469","140","7823","434","7502","460","321","147","1452","228","222","75","59","39","59","39","0","22","163","65","8634","373","8226","366","6078","394","196","98","5882","401","5600","400","282","122","2148","330","408","98","81","46","81","46","0","22","327","95","0400000US38","North Dakota"
"299287","580","153812","544","142638","542","110753","1211","478","154","110275","1217","102247","1493","8028","738","31885","1197","11174","317","2543","306","2446","309","97","61","8631","352","145475","499","131782","553","89219","1231","170","112","89049","1201","82333","1163","6716","511","42563","1281","13693","301","2029","262","2019","261","10","14","11664","377","0400000US39","Ohio"
"268805","460","143146","400","135762","469","110444","768","2195","318","108249","853","103566","1011","4683","463","25318","825","7384","205","2207","258","2123","259","84","46","5177","274","125659","319","117400","390","73689","997","506","133","73183","986","68196","1056","4987","432","43711","907","8259","219","1383","166","1330","171","53","55","6876","230","0400000US40","Oklahoma"
