"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"0400000US54","West Virginia","19629","395","10204","403","9556","423","6155","368","43","52","6112","370","5769","379","343","129","3401","419","648","132","93","49","69","44","24","19","555","116","9425","333","8426","313","5150","394","53","63","5097","402","4852","403","245","104","3276","404","999","180","183","90","151","85","32","34","816","165"
"0400000US53","Washington","601799","892","313396","573","296821","610","244834","1581","6050","480","238784","1676","224742","1812","14042","742","51987","1520","16575","172","4250","466","4057","463","193","80","12325","490","288403","627","269540","614","178438","1907","1243","257","177195","1895","163558","1779","13637","994","91102","1949","18863","153","3250","371","3037","356","213","134","15613","386"
"0400000US55","Wisconsin","250213","443","129871","391","122781","373","99308","813","231","109","99077","807","93122","918","5955","543","23473","801","7090","172","1489","213","1450","205","39","33","5601","245","120342","340","112347","351","77292","911","52","35","77240","903","72450","1078","4790","487","35055","957","7995","141","1092","204","1078","199","14","17","6903","261"
"0400000US56","Wyoming","39165","272","21008","323","19313","327","15342","453","334","117","15008","445","14053","464","955","262","3971","497","1695","131","349","100","336","99","13","22","1346","140","18157","260","16194","246","11415","403","89","52","11326","399","10842","398","484","175","4779","372","1963","127","390","128","379","126","11","17","1573","166"
"0400000US72","Puerto Rico","2761121","2200","1293246","1398","1017537","1408","615383","4021","1026","250","614357","4040","507711","4146","106646","2288","402154","4033","275709","399","25449","1037","23903","1058","1546","268","250260","1107","1467875","1414","1109042","1321","566182","3961","214","91","565968","3959","467144","4368","98824","2519","542860","3925","358833","445","16523","708","15330","700","1193","204","342310","844"
"0400000US01","Alabama","129568","465","70041","426","66180","461","54557","818","814","224","53743","855","51310","882","2433","343","11623","833","3861","245","1038","204","1006","210","32","30","2823","287","59527","477","55254","552","30363","1002","125","78","30238","1003","28321","962","1917","315","24891","1064","4273","252","467","128","419","126","48","41","3806","273"
"0400000US02","Alaska","35033","270","18556","190","17645","196","15039","373","2435","307","12604","481","11516","449","1088","318","2606","354","911","86","275","92","254","84","21","34","636","99","16477","168","15206","177","10654","340","205","99","10449","340","9954","343","495","150","4552","359","1271","130","286","111","286","111","0","22","985","143"
"0400000US04","Arizona","1522570","1127","761318","979","698112","980","540730","2649","2839","389","537891","2728","502057","2927","35834","1563","157382","2856","63206","*****","12462","703","11903","688","559","142","50744","704","761252","734","682256","734","434468","3025","876","207","433592","3009","399492","3148","34100","1471","247788","2847","78996","*****","8602","594","8241","581","361","107","70394","596"
"0400000US05","Arkansas","141808","555","74720","544","71165","571","58203","867","335","133","57868","875","55604","883","2264","384","12962","843","3555","268","1127","226","1062","229","65","53","2428","279","67088","533","63239","535","38532","1019","61","51","38471","1026","36394","1066","2077","336","24707","1118","3849","292","333","114","299","109","34","37","3516","319"
"0400000US06","California","11031651","2545","5525005","1853","5075133","1862","4043725","7093","23587","1674","4020138","7066","3734309","7179","285829","4440","1031408","7533","449872","121","94075","1830","88542","1765","5533","572","355797","1833","5506646","1816","4915462","1813","3151762","8599","3458","442","3148304","8649","2879329","8636","268975","4768","1763700","8865","591184","140","69367","1654","65596","1611","3771","395","521817","1671"
"0400000US08","Colorado","834138","838","424458","774","390266","768","316487","1795","4431","429","312056","1764","294781","1951","17275","1010","73779","1845","34192","202","6953","425","6607","413","346","109","27239","494","409680","684","367839","678","247306","2560","804","171","246502","2537","230507","2553","15995","1010","120533","2536","41841","202","5495","391","5357","405","138","60","36346","429"
"0400000US09","Connecticut","404883","597","200129","447","185768","446","145608","1149","794","203","144814","1154","130782","1491","14032","937","40160","1154","14361","*****","3069","324","2924","330","145","119","11292","324","204754","464","185321","475","129408","1513","104","95","129304","1517","115773","1638","13531","890","55913","1497","19433","77","2610","324","2524","318","86","67","16823","331"
"0400000US10","Delaware","58225","211","30037","180","28176","181","23005","444","225","115","22780","457","21637","450","1143","228","5171","470","1861","*****","639","154","638","154","1","3","1222","154","28188","136","25979","136","16915","515","38","32","16877","519","15702","553","1175","233","9064","511","2209","*****","278","94","259","93","19","32","1931","94"
