C23002B_001E,C23002B_001M,C23002B_002E,C23002B_002M,C23002B_003E,C23002B_003M,C23002B_004E,C23002B_004M,C23002B_005E,C23002B_005M,C23002B_006E,C23002B_006M,C23002B_007E,C23002B_007M,C23002B_008E,C23002B_008M,C23002B_009E,C23002B_009M,C23002B_010E,C23002B_010M,C23002B_011E,C23002B_011M,C23002B_012E,C23002B_012M,C23002B_013E,C23002B_013M,C23002B_014E,C23002B_014M,C23002B_015E,C23002B_015M,C23002B_016E,C23002B_016M,C23002B_017E,C23002B_017M,C23002B_018E,C23002B_018M,C23002B_019E,C23002B_019M,C23002B_020E,C23002B_020M,C23002B_021E,C23002B_021M,C23002B_022E,C23002B_022M,C23002B_023E,C23002B_023M,C23002B_024E,C23002B_024M,C23002B_025E,C23002B_025M,C23002B_026E,C23002B_026M,C23002B_027E,C23002B_027M,GEO_ID,NAME
97257,1315,42434,838,35878,809,23458,858,51,53,23407,859,20414,922,2993,368,12420,798,6556,220,1426,251,1303,227,123,85,5130,293,54823,886,43745,832,31451,863,0,24,31451,863,28018,801,3433,443,12294,775,11078,259,1590,199,1440,188,150,72,9488,280,5001600US4218,"Congressional District 18 (116th Congress), Pennsylvania"
37408,1603,19026,1021,16989,951,12392,803,221,112,12171,801,10882,818,1289,321,4597,805,2037,210,389,129,354,127,35,32,1648,230,18382,961,15953,914,11614,816,22,36,11592,811,10460,733,1132,349,4339,493,2429,261,347,113,347,113,0,30,2082,273,5001600US4401,"Congressional District 1 (116th Congress), Rhode Island"
17940,1186,9001,743,8349,725,5907,649,0,30,5907,649,5459,615,448,162,2442,358,652,150,164,81,164,81,0,30,488,155,8939,794,7928,771,5567,566,21,33,5546,567,4944,516,602,276,2361,475,1011,177,104,73,104,73,0,30,907,162,5001600US4402,"Congressional District 2 (116th Congress), Rhode Island"
113683,2021,51844,1131,43840,1089,34014,1224,1085,289,32929,1178,30524,1198,2405,457,9826,992,8004,438,1318,271,1288,267,30,35,6686,406,61839,1389,51348,1335,36226,1306,347,186,35879,1347,34202,1340,1677,386,15122,968,10491,497,1495,263,1440,251,55,50,8996,476,5001600US4501,"Congressional District 1 (116th Congress), South Carolina"
133288,2291,59890,1362,53139,1344,39425,1349,2041,418,37384,1372,33607,1409,3777,663,13714,951,6751,290,1317,283,1304,282,13,18,5434,273,73398,1425,62998,1396,47472,1153,832,214,46640,1153,42824,1265,3816,500,15526,1123,10400,425,1731,243,1606,229,125,92,8669,491,5001600US4502,"Congressional District 2 (116th Congress), South Carolina"
101162,1190,47698,791,40483,816,27029,955,80,81,26949,951,24200,897,2749,409,13454,790,7215,228,1272,220,1262,220,10,16,5943,326,53464,630,43194,600,31598,846,5,8,31593,845,28830,887,2763,450,11596,785,10270,237,1184,218,1145,215,39,43,9086,275,5001600US4503,"Congressional District 3 (116th Congress), South Carolina"
105108,1236,47647,788,41582,815,29527,939,34,51,29493,936,27286,910,2207,393,12055,774,6065,216,1252,243,1220,242,32,25,4813,301,57461,782,48456,709,35788,857,30,33,35758,851,33219,958,2539,410,12668,699,9005,276,1612,227,1424,224,188,109,7393,345,5001600US4504,"Congressional District 4 (116th Congress), South Carolina"
149315,1071,67808,749,57556,732,39014,964,323,153,38691,965,34931,1082,3760,503,18542,986,10252,176,1813,257,1715,253,98,79,8439,302,81507,749,66381,678,46784,936,274,146,46510,928,42575,946,3935,563,19597,1023,15126,257,2119,243,2048,238,71,43,13007,306,5001600US4505,"Congressional District 5 (116th Congress), South Carolina"
296330,3271,135864,1797,114215,1757,73176,1805,787,417,72389,1739,63015,1744,9374,930,41039,1456,21649,611,3790,403,3614,387,176,90,17859,626,160466,1989,128696,1846,89780,1660,399,180,89381,1664,80737,1615,8644,769,38916,1416,31770,641,4126,423,3849,389,277,121,27644,670,5001600US4506,"Congressional District 6 (116th Congress), South Carolina"
157569,769,70864,591,59583,585,38918,1031,68,55,38850,1015,34685,1142,4165,562,20665,1013,11281,168,1472,339,1463,337,9,13,9809,343,86705,542,69770,525,47637,944,0,30,47637,944,42662,1061,4975,628,22133,1001,16935,192,2103,234,2014,232,89,71,14832,290,5001600US4507,"Congressional District 7 (116th Congress), South Carolina"
12302,448,7616,384,7337,421,5450,446,152,61,5298,449,5060,433,238,146,1887,351,279,114,125,75,125,75,0,23,154,86,4686,320,4455,337,3251,380,37,37,3214,380,3119,368,95,64,1204,275,231,120,33,35,33,35,0,23,198,113,5001600US4600,"Congressional District (at Large) (116th Congress), South Dakota"
13930,548,7800,448,6837,432,4146,481,131,155,4015,514,3731,531,284,131,2691,352,963,128,248,85,215,81,33,37,715,143,6130,329,5133,321,3240,368,0,29,3240,368,3044,371,196,116,1893,312,997,160,127,75,127,75,0,29,870,184,5001600US4701,"Congressional District 1 (116th Congress), Tennessee"
35596,671,16884,458,14912,454,10814,512,20,31,10794,514,10036,578,758,230,4098,437,1972,120,364,118,363,118,1,2,1608,147,18712,405,15657,386,11034,472,47,67,10987,470,10092,519,895,227,4623,521,3055,107,655,174,641,175,14,16,2400,183,5001600US4702,"Congressional District 2 (116th Congress), Tennessee"
61977,611,28875,362,24710,348,16393,636,16,26,16377,637,14922,641,1455,317,8317,593,4165,171,672,172,641,169,31,37,3493,248,33102,465,27242,398,19145,632,0,29,19145,632,17051,703,2094,322,8097,604,5860,289,899,202,882,203,17,20,4961,304,5001600US4703,"Congressional District 3 (116th Congress), Tennessee"
57559,797,28238,561,25748,567,19861,520,118,156,19743,531,18415,720,1328,454,5887,431,2490,170,469,142,428,138,41,36,2021,207,29321,500,25807,478,20058,612,32,54,20026,614,18612,629,1414,350,5749,538,3514,133,489,126,479,127,10,15,3025,161,5001600US4704,"Congressional District 4 (116th Congress), Tennessee"
147185,953,66482,558,59389,565,45310,1029,35,35,45275,1031,42408,1100,2867,495,14079,903,7093,101,1615,267,1561,264,54,45,5478,271,80703,599,69835,584,54526,946,41,40,54485,945,50855,926,3630,442,15309,801,10868,129,1990,300,1760,276,230,137,8878,316,5001600US4705,"Congressional District 5 (116th Congress), Tennessee"
27999,484,13837,339,12256,351,8449,498,23,25,8426,496,7978,492,448,178,3807,459,1581,95,386,116,377,116,9,19,1195,121,14162,430,11796,422,8342,524,0,29,8342,524,7982,511,360,152,3454,461,2366,117,412,154,371,155,41,48,1954,178,5001600US4706,"Congressional District 6 (116th Congress), Tennessee"
61959,725,31960,546,28959,549,18468,662,2091,381,16377,696,14482,678,1895,420,10491,656,3001,160,569,135,566,136,3,7,2432,200,29999,522,25761,502,17855,687,361,163,17494,709,15856,798,1638,356,7906,571,4238,177,629,130,616,128,13,23,3609,233,5001600US4707,"Congressional District 7 (116th Congress), Tennessee"
110747,2009,51380,1130,44948,1087,28947,1098,109,77,28838,1100,26368,1127,2470,376,16001,687,6432,272,1303,220,1188,215,115,113,5129,296,59367,1366,50091,1409,34770,1458,35,36,34735,1460,32149,1345,2586,392,15321,947,9276,322,1385,229,1297,220,88,73,7891,352,5001600US4708,"Congressional District 8 (116th Congress), Tennessee"
353754,2205,158298,1194,139352,1164,96383,1786,325,177,96058,1754,84297,1634,11761,909,42969,1608,18946,273,3723,341,3446,349,277,132,15223,389,195456,1460,165457,1537,120643,2020,221,191,120422,1992,108369,2014,12053,829,44814,1572,29999,316,4323,426,3990,408,333,130,25676,528,5001600US4709,"Congressional District 9 (116th Congress), Tennessee"
99062,730,45492,454,39013,434,24023,808,80,88,23943,808,20808,930,3135,461,14990,733,6479,194,1173,228,1125,236,48,48,5306,292,53570,471,44105,451,30712,799,0,32,30712,799,28257,806,2455,410,13393,936,9465,144,1363,224,1349,224,14,19,8102,268,5001600US4801,"Congressional District 1 (116th Congress), Texas"
72661,2856,32689,1683,30451,1610,24244,1357,0,32,24244,1357,22279,1335,1965,431,6207,688,2238,377,614,160,570,152,44,40,1624,322,39972,1768,36312,1763,27843,1635,38,49,27805,1635,26313,1576,1492,331,8469,1022,3660,513,810,215,799,214,11,17,2850,439,5001600US4802,"Congressional District 2 (116th Congress), Texas"
64513,1320,29032,827,27327,816,23621,722,20,30,23601,730,22530,765,1071,288,3706,579,1705,155,610,158,610,158,0,32,1095,172,35481,723,32396,692,25826,712,65,106,25761,716,24560,713,1201,295,6570,623,3085,183,757,194,703,187,54,53,2328,256,5001600US4803,"Congressional District 3 (116th Congress), Texas"
61842,1249,29697,699,25267,683,15332,735,20,27,15312,735,14058,771,1254,282,9935,634,4430,164,630,153,622,150,8,12,3800,221,32145,684,26257,688,18466,807,0,32,18466,807,17125,849,1341,271,7791,756,5888,187,682,158,682,158,0,32,5206,206,5001600US4804,"Congressional District 4 (116th Congress), Texas"
89031,1920,44851,1295,41351,1191,26032,1348,0,32,26032,1348,23915,1304,2117,452,15319,982,3500,360,934,244,863,247,71,67,2566,271,44180,1212,39302,1213,29184,1233,0,32,29184,1233,27297,1189,1887,381,10118,854,4878,393,902,223,871,225,31,37,3976,374,5001600US4805,"Congressional District 5 (116th Congress), Texas"
125125,2927,57327,1804,52899,1781,42143,1663,167,131,41976,1655,38966,1568,3010,507,10756,813,4428,387,1219,242,1208,241,11,20,3209,355,67798,1674,61973,1587,47928,1539,110,110,47818,1517,45228,1557,2590,567,14045,946,5825,420,1281,230,1205,229,76,55,4544,432,5001600US4806,"Congressional District 6 (116th Congress), Texas"
83903,3202,38399,1825,36328,1798,30093,1767,84,134,30009,1767,28058,1638,1951,437,6235,959,2071,356,650,202,627,202,23,27,1421,306,45504,2064,42391,1929,34071,1606,16,29,34055,1604,31520,1496,2535,544,8320,1027,3113,593,789,275,751,284,38,44,2324,528,5001600US4807,"Congressional District 7 (116th Congress), Texas"
58495,1597,32512,1072,29553,1063,17834,1143,67,82,17767,1124,16152,1032,1615,482,11719,702,2959,216,532,206,498,207,34,38,2427,235,25983,952,22138,973,15244,944,0,32,15244,944,14437,959,807,285,6894,702,3845,234,801,196,797,196,4,6,3044,309,5001600US4808,"Congressional District 8 (116th Congress), Texas"
228304,4576,103463,2780,90946,2680,69678,2284,178,172,69500,2262,62135,2133,7365,834,21268,1715,12517,617,3754,467,3530,449,224,116,8763,629,124841,2776,105939,2579,78861,2542,0,32,78861,2542,72194,2437,6667,719,27078,1688,18902,774,3522,407,3386,393,136,66,15380,765,5001600US4809,"Congressional District 9 (116th Congress), Texas"
75085,2660,34175,1586,31121,1535,23430,1137,24,38,23406,1131,20976,1138,2430,542,7691,925,3054,299,643,143,608,145,35,36,2411,268,40910,1617,35823,1589,26266,1547,0,32,26266,1547,23986,1512,2280,579,9557,861,5087,421,953,280,923,272,30,37,4134,423,5001600US4810,"Congressional District 10 (116th Congress), Texas"
23873,659,13092,489,11795,467,7862,459,320,108,7542,458,7064,472,478,218,3933,429,1297,160,321,127,299,119,22,34,976,187,10781,533,9107,524,6744,571,85,65,6659,571,6018,567,641,253,2363,356,1674,97,282,131,282,131,0,32,1392,138,5001600US4811,"Congressional District 11 (116th Congress), Texas"
55457,2143,25672,1314,23963,1304,17603,1063,243,208,17360,1022,15866,1002,1494,406,6360,794,1709,302,385,131,335,131,50,47,1324,268,29785,1369,26339,1259,20207,1178,46,62,20161,1183,18650,1197,1511,327,6132,692,3446,411,417,151,400,149,17,28,3029,440,5001600US4812,"Congressional District 12 (116th Congress), Texas"
30619,685,18675,518,17028,480,8544,487,640,186,7904,476,7113,480,791,181,8484,542,1647,169,373,131,367,130,6,12,1274,178,11944,388,9960,404,6353,436,221,105,6132,430,5784,448,348,107,3607,396,1984,159,388,117,361,111,27,33,1596,194,5001600US4813,"Congressional District 13 (116th Congress), Texas"
114457,1490,56829,812,49495,813,28136,1120,31,32,28105,1112,25835,1174,2270,399,21359,1047,7334,183,1374,265,1331,268,43,44,5960,283,57628,938,47211,918,32643,830,3,5,32640,830,30255,841,2385,361,14568,834,10417,228,1408,223,1324,220,84,69,9009,303,5001600US4814,"Congressional District 14 (116th Congress), Texas"
12047,601,7595,434,6952,446,3842,433,190,140,3652,452,3559,456,93,59,3110,328,643,90,45,35,45,35,0,32,598,97,4452,358,3917,347,2842,315,8,13,2834,316,2676,311,158,105,1075,262,535,102,114,83,114,83,0,32,421,102,5001600US4815,"Congressional District 15 (116th Congress), Texas"
21243,573,13060,504,12058,501,9172,508,3020,388,6152,495,5617,488,535,218,2886,429,1002,75,209,91,209,91,0,32,793,95,8183,285,7123,272,5113,375,729,216,4384,367,3959,335,425,187,2010,357,1060,47,248,89,248,89,0,32,812,91,5001600US4816,"Congressional District 16 (116th Congress), Texas"
78200,1474,36764,876,32688,879,21209,903,36,52,21173,905,19658,900,1515,327,11479,778,4076,191,728,155,714,154,14,22,3348,210,41436,919,35580,918,24030,910,20,25,24010,914,22557,961,1453,304,11550,757,5856,222,961,162,912,156,49,41,4895,265,5001600US4817,"Congressional District 17 (116th Congress), Texas"
216508,3900,98966,2806,85830,2720,56340,1805,33,37,56307,1791,49331,1607,6976,673,29490,2124,13136,577,2341,308,2172,304,169,95,10795,583,117542,2446,96839,2139,67447,2027,9,14,67438,2027,60743,1938,6695,702,29392,1618,20703,836,3059,365,2822,369,237,77,17644,829,5001600US4818,"Congressional District 18 (116th Congress), Texas"
34897,737,19327,655,17555,650,9605,624,442,166,9163,622,8715,626,448,149,7950,558,1772,157,495,179,495,179,0,32,1277,156,15570,427,13448,430,9224,497,102,69,9122,501,8772,513,350,143,4224,485,2122,173,351,125,337,119,14,22,1771,205,5001600US4819,"Congressional District 19 (116th Congress), Texas"
34282,1745,17997,1067,16572,1066,13177,971,956,218,12221,979,11458,985,763,254,3395,473,1425,246,395,156,386,153,9,13,1030,205,16285,1071,14639,1006,11043,819,275,106,10768,828,10042,786,726,269,3596,544,1646,321,198,91,176,86,22,28,1448,310,5001600US4820,"Congressional District 20 (116th Congress), Texas"
24181,1860,12670,1222,11515,1200,8614,1033,243,88,8371,1037,7947,1001,424,198,2901,487,1155,257,254,110,227,107,27,38,901,239,11511,955,10320,930,7574,808,277,137,7297,802,6902,765,395,175,2746,439,1191,233,238,83,238,83,0,32,953,218,5001600US4821,"Congressional District 21 (116th Congress), Texas"
95576,3383,44612,1741,40369,1682,32457,1555,148,137,32309,1568,30211,1543,2098,482,7912,961,4243,336,1388,280,1237,271,151,108,2855,409,50964,2155,45223,2089,34000,1681,0,32,34000,1681,32027,1688,1973,573,11223,1526,5741,511,1262,276,1215,264,47,67,4479,582,5001600US4822,"Congressional District 22 (116th Congress), Texas"
22445,1439,13015,1074,11492,1032,7119,860,498,187,6621,814,5991,796,630,336,4373,535,1523,271,320,141,320,141,0,32,1203,246,9430,771,7810,753,5318,751,110,73,5208,747,4872,664,336,194,2492,469,1620,345,261,118,253,117,8,17,1359,307,5001600US4823,"Congressional District 23 (116th Congress), Texas"
77243,2519,35518,1572,34200,1558,29920,1413,50,49,29870,1414,28464,1387,1406,338,4280,646,1318,255,470,153,455,152,15,24,848,190,41725,1745,39050,1717,33483,1603,46,67,33437,1593,31412,1513,2025,436,5567,606,2675,353,489,162,489,162,0,32,2186,323,5001600US4824,"Congressional District 24 (116th Congress), Texas"
46332,1637,23913,1155,21605,1105,14743,1006,2145,358,12598,964,11424,938,1174,315,6862,573,2308,297,302,102,290,99,12,18,2006,271,22419,910,19266,903,12365,887,407,184,11958,895,10764,857,1194,325,6901,570,3153,273,459,114,440,114,19,22,2694,262,5001600US4825,"Congressional District 25 (116th Congress), Texas"
56405,1627,26130,1024,24653,1004,20534,1008,11,18,20523,1006,19332,965,1191,306,4119,520,1477,141,430,135,381,134,49,50,1047,140,30275,997,28312,991,23248,1008,5,8,23243,1008,22113,1010,1130,323,5064,572,1963,199,444,131,368,124,76,80,1519,204,5001600US4826,"Congressional District 26 (116th Congress), Texas"
29240,650,13963,496,11792,484,7897,562,85,66,7812,577,7218,569,594,205,3895,480,2171,128,432,113,416,114,16,18,1739,168,15277,343,12337,368,7554,451,99,82,7455,443,6816,441,639,191,4783,463,2940,161,575,164,525,161,50,54,2365,218,5001600US4827,"Congressional District 27 (116th Congress), Texas"
24676,1545,11532,870,10122,822,7708,740,287,145,7421,710,6734,571,687,264,2414,474,1410,230,213,94,213,94,0,32,1197,227,13144,926,11197,855,8167,748,80,69,8087,748,7447,727,640,260,3030,436,1947,284,429,128,389,119,40,45,1518,266,5001600US4828,"Congressional District 28 (116th Congress), Texas"
60832,2315,28560,1616,24913,1435,19224,1410,0,32,19224,1410,17067,1281,2157,448,5689,703,3647,511,746,196,640,167,106,77,2901,466,32272,1370,28207,1379,20418,1179,0,32,20418,1179,18809,1109,1609,338,7789,810,4065,416,664,171,556,144,108,100,3401,388,5001600US4829,"Congressional District 29 (116th Congress), Texas"
257832,2652,113385,1847,97497,1746,65296,1811,65,61,65231,1808,59353,1629,5878,759,32201,1380,15888,452,3376,376,3271,368,105,62,12512,491,144447,1862,119899,1676,84768,1698,11,18,84757,1698,78094,1695,6663,712,35131,1413,24548,645,4441,471,4223,450,218,87,20107,649,5001600US4830,"Congressional District 30 (116th Congress), Texas"
76040,1671,37490,1025,34680,989,26994,1040,2687,505,24307,1036,21952,1024,2355,436,7686,711,2810,143,668,139,668,139,0,32,2142,213,38550,988,34810,961,25315,1008,566,172,24749,1052,22514,920,2235,495,9495,792,3740,167,632,177,582,163,50,49,3108,233,5001600US4831,"Congressional District 31 (116th Congress), Texas"
79931,2487,37951,1616,35427,1493,28914,1362,13,21,28901,1359,27051,1308,1850,381,6513,704,2524,390,556,179,508,171,48,47,1968,374,41980,1487,38156,1434,30429,1239,0,32,30429,1239,28063,1359,2366,574,7727,732,3824,448,1207,316,1120,312,87,62,2617,395,5001600US4832,"Congressional District 32 (116th Congress), Texas"
89563,2441,40849,1724,35327,1778,24936,1493,22,25,24914,1495,22081,1279,2833,534,10391,802,5522,411,1293,273,1254,277,39,35,4229,342,48714,1476,40171,1412,28316,1296,21,25,28295,1296,25819,1169,2476,427,11855,773,8543,473,1093,215,988,186,105,87,7450,465,5001600US4833,"Congressional District 33 (116th Congress), Texas"
7359,440,5464,416,5038,409,2050,292,36,49,2014,293,1856,291,158,108,2988,337,426,91,49,42,49,42,0,32,377,87,1895,216,1601,213,948,176,62,65,886,173,831,178,55,54,653,160,294,77,28,32,28,32,0,32,266,76,5001600US4834,"Congressional District 34 (116th Congress), Texas"
60268,2092,29800,1444,26783,1436,18389,1263,105,81,18284,1268,17151,1170,1133,361,8394,802,3017,360,683,208,678,209,5,6,2334,328,30468,1242,26176,1180,17623,1115,166,105,17457,1125,16441,1120,1016,304,8553,708,4292,368,798,186,788,182,10,15,3494,381,5001600US4835,"Congressional District 35 (116th Congress), Texas"
54141,1825,27386,1054,24303,1017,15518,1122,34,37,15484,1126,13443,940,2041,426,8785,767,3083,245,582,125,566,126,16,19,2501,227,26755,1086,22124,969,15270,996,10,15,15260,994,13920,1040,1340,304,6854,600,4631,352,1043,245,1032,244,11,11,3588,327,5001600US4836,"Congressional District 36 (116th Congress), Texas"
6285,445,3909,334,3651,341,2762,276,128,64,2634,275,2378,292,256,113,889,252,258,74,88,49,88,49,0,27,170,65,2376,237,2149,239,1529,219,29,31,1500,223,1472,215,28,50,620,182,227,89,66,58,66,58,0,27,161,71,5001600US4901,"Congressional District 1 (116th Congress), Utah"
7399,845,4563,579,4433,573,3074,491,60,50,3014,494,2787,483,227,149,1359,287,130,74,24,28,24,28,0,27,106,68,2836,466,2711,454,1853,423,6,13,1847,424,1728,406,119,78,858,229,125,81,20,27,20,27,0,27,105,77,5001600US4902,"Congressional District 2 (116th Congress), Utah"
3280,451,1852,309,1747,281,1140,229,13,20,1127,223,1105,221,22,27,607,210,105,72,39,55,39,55,0,27,66,52,1428,244,1325,229,934,216,0,27,934,216,934,216,0,27,391,126,103,64,17,26,17,26,0,27,86,57,5001600US4903,"Congressional District 3 (116th Congress), Utah"
8553,807,4802,537,4535,512,3779,474,12,21,3767,475,3486,467,281,130,756,181,267,95,59,42,59,42,0,27,208,98,3751,414,3546,379,2341,299,8,12,2333,299,2149,293,184,98,1205,308,205,86,8,15,8,15,0,27,197,85,5001600US4904,"Congressional District 4 (116th Congress), Utah"
6354,277,3831,260,3551,256,2662,261,11,14,2651,261,2521,263,130,80,889,170,280,104,129,91,129,91,0,22,151,63,2523,199,2301,185,1803,169,0,22,1803,169,1727,183,76,61,498,142,222,64,68,64,68,64,0,22,154,64,5001600US5000,"Congressional District (at Large) (116th Congress), Vermont"
