C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,GEO_ID,NAME
135132,1780,72288,1080,66761,1058,50255,1343,95,105,50160,1353,47252,1375,2908,468,16506,911,5527,209,1273,262,1176,257,97,73,4254,309,62844,983,56698,923,32328,1140,0,32,32328,1140,30197,1084,2131,370,24370,1085,6146,261,892,213,824,204,68,53,5254,331,5001600US4814,"Congressional District 14 (116th Congress), Texas"
451756,2978,218940,1821,193548,1655,144055,2122,125,78,143930,2128,133094,2086,10836,951,49493,1804,25392,622,4802,510,4628,490,174,85,20590,778,232816,2291,199284,2035,118079,1976,43,51,118036,1971,110785,2009,7251,710,81205,2253,33532,701,4053,401,3993,399,60,44,29479,712,5001600US4815,"Congressional District 15 (116th Congress), Texas"
444753,1460,208462,1100,181266,1035,140647,1743,4001,587,136646,1818,128733,1899,7913,788,40619,1647,27196,354,5528,460,5380,445,148,77,21668,510,236291,1010,195926,962,127666,1470,477,148,127189,1494,118672,1502,8517,758,68260,1475,40365,391,4163,435,4057,433,106,53,36202,497,5001600US4816,"Congressional District 16 (116th Congress), Texas"
140383,2276,71217,1409,66635,1395,51845,1386,139,99,51706,1392,50033,1370,1673,379,14790,957,4582,315,1475,243,1416,252,59,64,3107,293,69166,1331,63706,1223,41895,1225,43,33,41852,1231,39953,1250,1899,482,21811,981,5460,422,804,214,804,214,0,32,4656,472,5001600US4817,"Congressional District 17 (116th Congress), Texas"
235642,4286,121147,2807,113453,2677,93693,2082,33,47,93660,2091,89634,2080,4026,551,19760,1547,7694,667,2128,374,2036,373,92,69,5566,562,114495,2550,105859,2476,61494,1937,0,32,61494,1937,57693,1922,3801,458,44365,1976,8636,704,1391,325,1335,319,56,66,7245,713,5001600US4818,"Congressional District 18 (116th Congress), Texas"
191867,623,99750,393,90500,390,65064,1091,505,167,64559,1127,61045,1089,3514,457,25436,1018,9250,82,2269,257,2225,253,44,33,6981,276,92117,434,81253,433,53441,1049,103,69,53338,1044,50608,1092,2730,430,27812,1013,10864,138,1688,251,1672,251,16,21,9176,295,5001600US4819,"Congressional District 19 (116th Congress), Texas"
418793,3781,199529,2453,177353,2299,138765,2292,1184,264,137581,2326,128663,2225,8918,953,38588,1406,22176,742,4482,483,4422,489,60,35,17694,731,219264,2389,187234,2281,128066,2488,388,151,127678,2484,119707,2614,7971,875,59168,1752,32030,744,4441,430,4230,417,211,128,27589,778,5001600US4820,"Congressional District 20 (116th Congress), Texas"
183454,3336,90050,2432,81650,2387,67378,2087,418,135,66960,2077,64325,1985,2635,474,14272,1175,8400,621,2504,404,2459,398,45,38,5896,538,93404,2157,82278,2059,59166,2081,132,82,59034,2073,56852,2078,2182,464,23112,1153,11126,709,1659,298,1626,299,33,35,9467,661,5001600US4821,"Congressional District 21 (116th Congress), Texas"
168605,3717,83250,2203,76487,2132,63768,1868,117,132,63651,1867,60520,1654,3131,644,12719,1089,6763,369,1922,383,1668,376,254,210,4841,456,85355,2019,76878,1890,50367,1636,17,27,50350,1639,47837,1518,2513,562,26511,1630,8477,603,936,241,868,235,68,59,7541,623,5001600US4822,"Congressional District 22 (116th Congress), Texas"
390695,3199,195707,2229,170209,1994,125313,2123,719,210,124594,2087,117248,2233,7346,863,44896,1595,25498,668,4892,516,4623,504,269,171,20606,705,194988,2091,164666,2027,99590,2310,157,72,99433,2311,93266,2231,6167,665,65076,2143,30322,757,3628,465,3568,467,60,60,26694,871,5001600US4823,"Congressional District 23 (116th Congress), Texas"
