GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29
0400000US39,39,Ohio,6043508,1334,517279,6161,269550,3829,29,48,269521,3831,231480,3530,38041,1228,247729,3912,1892938,9822,1374997,8113,451,134,1374546,8131,1283144,7948,91402,2177,517941,4700,1866946,7490,1495120,7814,2594,318,1492526,7744,1413723,7379,78803,2164,371826,4044,1766345,12754,1538120,11960,3527,353,1534593,11937,1498298,11837,36295,1407,228225,2806
0400000US40,40,Oklahoma,1979158,865,230224,2498,133151,1830,61,44,133090,1833,122007,1794,11083,509,97073,1699,604569,3644,421390,3135,1095,210,420295,3135,394081,3034,26214,965,183179,2170,638118,4107,486252,3708,4141,375,482111,3709,460240,3610,21871,1003,151866,2201,506247,4284,431529,3915,4182,457,427347,3853,418846,3934,8501,535,74718,1557
0400000US41,41,Oregon,2142864,1006,206975,3970,137374,3159,0,28,137374,3159,124197,2814,13177,947,69601,2299,476880,5094,339684,4209,231,87,339453,4215,313253,4064,26200,1445,137196,2745,750185,5541,572426,4891,1006,206,571420,4897,537816,4819,33604,1409,177759,2942,708824,5967,596301,5268,893,244,595408,5259,574700,5199,20708,1071,112523,2530
0400000US42,42,Pennsylvania,6704931,1037,550366,6299,300657,3795,66,41,300591,3788,263913,3664,36678,1257,249709,4111,2205619,11879,1606446,9071,402,138,1606044,9081,1496017,8522,110027,2507,599173,5471,1750430,8167,1414862,6983,1624,257,1413238,6963,1338606,6827,74632,1873,335568,3952,2198516,12971,1918127,12003,1877,265,1916250,11986,1861730,12062,54520,1726,280389,3417
0400000US44,44,Rhode Island,559117,531,57084,1652,34695,1153,0,29,34695,1153,31003,1053,3692,445,22389,1130,149124,2640,113766,2599,186,96,113580,2596,103678,2496,9902,708,35358,1307,158702,2447,129871,2238,725,208,129146,2244,121920,2232,7226,585,28831,1109,194207,2806,171655,2722,1760,253,169895,2723,164946,2716,4949,474,22552,1087
0400000US45,45,South Carolina,2530345,928,299485,4842,160538,3404,96,98,160442,3411,139922,3199,20520,1081,138947,3002,726629,6491,512204,5448,1757,304,510447,5402,471195,5231,39252,1507,214425,3227,802240,5875,628300,5174,7542,673,620758,5122,586659,4849,34099,1328,173940,2587,701991,8139,596259,7218,5533,573,590726,7149,574548,6891,16178,900,105732,2457
0400000US46,46,South Dakota,428487,591,30022,1113,19016,963,6,12,19010,961,17423,881,1587,238,11006,718,120785,2021,96400,1885,60,42,96340,1887,92439,1835,3901,368,24385,908,151723,1751,127372,1744,1075,200,126297,1721,122488,1801,3809,382,24351,1003,125957,1833,111886,1698,540,132,111346,1689,110147,1735,1199,203,14071,722
0400000US47,47,Tennessee,3465094,1539,390347,5250,202503,3459,48,46,202455,3460,178331,3187,24124,1221,187844,3102,1105317,8530,772468,7075,2012,394,770456,7002,716011,6323,54445,1978,332849,4225,1013427,6369,786857,6331,7216,649,779641,6353,741683,6170,37958,1544,226570,3050,956003,8251,819772,7706,5081,609,814691,7748,792877,7586,21814,1146,136231,2273
0400000US48,48,Texas,14238525,1990,2287734,16249,1476302,11999,323,129,1475979,11989,1378448,11593,97531,2949,811432,7538,3517552,18437,2542096,15444,6622,658,2535474,15420,2388215,14958,147259,2899,975456,7612,4234478,13177,3346720,12334,27309,1132,3319411,12457,3157269,11886,162142,3206,887758,7024,4198761,28019,3594063,24689,20192,974,3573871,24343,3469130,23281,104741,2831,604698,6514
0400000US49,49,Utah,1435995,614,116919,2940,82088,2372,0,27,82088,2372,76990,2438,5098,522,34831,1458,318651,4149,240736,3764,138,58,240598,3764,229112,3662,11486,749,77915,1584,529123,4002,410397,3536,2097,279,408300,3517,395504,3372,12796,896,118726,2005,471302,4871,393075,4147,919,210,392156,4123,384262,4069,7894,567,78227,1954
0400000US50,50,Vermont,328349,417,20794,965,12233,655,20,24,12213,657,11055,623,1158,199,8561,674,95265,1555,74302,1306,68,51,74234,1316,70734,1301,3500,346,20963,896,89064,1746,72316,1603,180,62,72136,1598,69730,1533,2406,281,16748,758,123226,1963,108357,1841,104,52,108253,1838,105980,1794,2273,260,14869,670
0400000US51,51,Virginia,4492898,1861,411815,5893,251781,4008,350,149,251431,4025,229309,3722,22122,1365,160034,3382,1041545,9283,770349,7863,8289,606,762060,7965,716355,7629,45705,1693,271196,3997,1263801,8044,1013483,7505,29397,1179,984086,7370,937767,7327,46319,1668,250318,3758,1775737,12405,1551838,11707,34149,1313,1517689,11235,1478738,11212,38951,1356,223899,2680
0400000US53,53,Washington,3867015,805,340595,4655,218878,3758,102,78,218776,3761,199215,3560,19561,1170,121717,2988,835289,7345,605673,5785,4790,571,600883,5794,560735,5302,40148,1770,229616,3530,1329334,6764,1025193,6444,16470,896,1008723,6284,957163,6614,51560,1790,304141,3681,1361797,8892,1158696,8699,9659,633,1149037,8691,1114322,8079,34715,1480,203101,3082
0400000US54,54,West Virginia,957339,883,107104,2369,41746,1490,0,27,41746,1490,36006,1330,5740,591,65358,1895,381716,3459,242038,2771,63,46,241975,2773,224287,2912,17688,1041,139678,2544,262996,2912,191038,2890,533,161,190505,2875,179866,2855,10639,618,71958,1596,205523,3131,173115,2892,443,161,172672,2889,168510,2833,4162,447,32408,1092
0400000US55,55,Wisconsin,3011092,850,212201,2668,128562,2176,17,19,128545,2176,116633,2099,11912,662,83639,1536,855875,6014,663838,5677,244,94,663594,5713,629337,5614,34257,1257,192037,2517,1013608,4335,843137,4478,1135,205,842002,4525,809070,4559,32932,1165,170471,2130,929408,6965,819185,6296,814,146,818371,6285,801796,6346,16575,768,110223,1875
0400000US56,56,Wyoming,304378,703,19993,1045,13621,842,0,28,13621,842,12141,763,1480,276,6372,621,84825,2132,65641,1739,33,37,65608,1739,62199,1732,3409,383,19184,1175,117380,2403,95529,2195,789,207,94740,2189,91347,2115,3393,407,21851,945,82180,1823,71238,1692,783,202,70455,1655,69209,1678,1246,256,10942,664
0400000US72,72,Puerto Rico,1761170,296,304667,4243,103351,2569,0,32,103351,2569,72494,2157,30857,1479,201316,3369,496640,4885,264158,3810,123,85,264035,3809,210357,3377,53678,1760,232482,3783,457197,4437,303586,4183,678,225,302908,4199,258963,3862,43945,1625,153611,2648,502666,4483,392410,4015,565,168,391845,4039,363368,3948,28477,1214,110256,2000
