"GEO_ID","NAME","C23002I_001E","C23002I_001M","C23002I_002E","C23002I_002M","C23002I_003E","C23002I_003M","C23002I_004E","C23002I_004M","C23002I_005E","C23002I_005M","C23002I_006E","C23002I_006M","C23002I_007E","C23002I_007M","C23002I_008E","C23002I_008M","C23002I_009E","C23002I_009M","C23002I_010E","C23002I_010M","C23002I_011E","C23002I_011M","C23002I_012E","C23002I_012M","C23002I_013E","C23002I_013M","C23002I_014E","C23002I_014M","C23002I_015E","C23002I_015M","C23002I_016E","C23002I_016M","C23002I_017E","C23002I_017M","C23002I_018E","C23002I_018M","C23002I_019E","C23002I_019M","C23002I_020E","C23002I_020M","C23002I_021E","C23002I_021M","C23002I_022E","C23002I_022M","C23002I_023E","C23002I_023M","C23002I_024E","C23002I_024M","C23002I_025E","C23002I_025M","C23002I_026E","C23002I_026M","C23002I_027E","C23002I_027M"
"5001600US3915","Congressional District 15 (116th Congress), Ohio","11077","676","5609","467","5373","451","4098","482","0","27","4098","482","3842","480","256","117","1275","188","236","90","8","10","8","10","0","27","228","90","5468","400","4971","398","3668","399","13","23","3655","397","3369","399","286","121","1303","253","497","129","43","39","43","39","0","27","454","124"
"5001600US1306","Congressional District 6 (116th Congress), Georgia","62357","1794","33755","1188","32213","1171","28984","1086","59","69","28925","1083","28086","1050","839","205","3229","435","1542","221","545","158","485","146","60","69","997","217","28602","1008","26574","932","17627","887","13","23","17614","886","16199","871","1415","248","8947","844","2028","275","436","162","416","161","20","33","1592","286"
"5001600US4816","Congressional District 16 (116th Congress), Texas","442187","1729","206536","1157","180117","1138","139110","1372","3728","537","135382","1409","126917","1647","8465","758","41007","1410","26419","363","5077","417","4958","412","119","62","21342","530","235651","1186","196309","1084","126839","1840","524","169","126315","1843","117420","1567","8895","881","69470","1776","39342","431","3951","374","3860","375","91","44","35391","493"
"5001600US4830","Congressional District 30 (116th Congress), Texas","200366","3574","101281","2401","95501","2235","78768","2244","30","29","78738","2245","75795","2213","2943","385","16733","1057","5780","445","1501","272","1441","273","60","45","4279","419","99085","2172","92551","2150","53436","2004","7","10","53429","2005","50265","1870","3164","535","39115","1425","6534","551","939","192","939","192","0","31","5595","522"
"5001600US4835","Congressional District 35 (116th Congress), Texas","361354","3972","182641","2418","165809","2447","130772","2298","530","233","130242","2296","123967","2396","6275","648","35037","1559","16832","674","3267","417","3168","405","99","46","13565","621","178713","2518","157165","2442","101591","2212","37","38","101554","2220","95032","2171","6522","584","55574","1808","21548","820","3005","332","2914","338","91","61","18543","748"
"5001600US1702","Congressional District 2 (116th Congress), Illinois","67917","2110","34123","1330","30686","1281","25289","1257","58","72","25231","1248","22345","1231","2886","533","5397","471","3437","289","535","150","477","131","58","68","2902","294","33794","1107","29821","982","18133","858","0","26","18133","858","15729","740","2404","343","11688","695","3973","384","413","105","401","104","12","15","3560","358"
"5001600US4203","Congressional District 3 (116th Congress), Pennsylvania","25690","1513","13603","947","12721","913","9071","766","15","21","9056","764","8250","750","806","245","3650","528","882","179","213","98","146","70","67","83","669","148","12087","888","11049","853","7283","635","10","15","7273","638","6608","582","665","235","3766","503","1038","225","256","129","161","81","95","86","782","202"
"5001600US0629","Congressional District 29 (116th Congress), California","371768","3449","187115","2592","172487","2472","140867","2257","26","29","140841","2256","132422","2031","8419","715","31620","1272","14628","641","3508","343","3216","336","292","114","11120","554","184653","2237","164793","2245","104973","2039","15","21","104958","2038","95517","1975","9441","626","59820","1588","19860","788","2370","272","2230","257","140","61","17490","765"
"5001600US0643","Congressional District 43 (116th Congress), California","251224","3885","123767","2289","114674","2239","94253","1977","15","24","94238","1977","88298","1819","5940","666","20421","1062","9093","600","2257","301","2228","302","29","25","6836","529","127457","2157","114878","2059","75478","1858","7","11","75471","1858","69856","1644","5615","565","39400","1256","12579","664","1385","216","1218","224","167","76","11194","629"
"5001600US4832","Congressional District 32 (116th Congress), Texas","140818","2625","73293","1884","69676","1847","60603","1725","62","68","60541","1722","58314","1698","2227","370","9073","785","3617","430","1280","237","1245","235","35","32","2337","376","67525","1605","62802","1541","41644","1407","20","24","41624","1409","38942","1405","2682","406","21158","1131","4723","413","918","225","851","199","67","85","3805","406"
"5001600US1712","Congressional District 12 (116th Congress), Illinois","16669","390","9111","306","8543","289","5671","433","157","87","5514","428","5112","416","402","127","2872","338","568","77","133","63","133","63","0","26","435","92","7558","222","6856","226","4506","304","156","97","4350","312","3910","308","440","164","2350","254","702","84","44","31","44","31","0","26","658","89"
"5001600US2001","Congressional District 1 (116th Congress), Kansas","74124","380","39546","318","37277","311","31845","482","1879","227","29966","506","28291","565","1675","278","5432","437","2269","154","866","151","852","152","14","18","1403","184","34578","282","32354","269","21583","704","188","82","21395","698","19656","670","1739","288","10771","693","2224","115","332","115","332","115","0","24","1892","131"
"5001600US0101","Congressional District 1 (116th Congress), Alabama","15382","207","8003","169","7248","178","6105","381","17","29","6088","384","5999","392","89","77","1143","414","755","58","224","95","219","95","5","10","531","102","7379","155","6570","151","4066","434","0","28","4066","434","3909","437","157","94","2504","419","809","46","85","70","85","70","0","28","724","85"
"5001600US1310","Congressional District 10 (116th Congress), Georgia","28601","1254","14463","844","13578","847","10836","724","103","113","10733","753","10298","735","435","210","2742","472","885","267","189","136","147","106","42","58","696","225","14138","728","13360","706","7640","619","0","31","7640","619","6911","564","729","245","5720","539","778","155","78","55","78","55","0","31","700","160"
"5001600US2604","Congressional District 4 (116th Congress), Michigan","15707","397","8192","232","7479","225","5307","265","10","16","5297","261","4806","268","491","121","2172","207","713","73","160","50","147","47","13","18","553","77","7515","282","6625","282","4555","272","0","23","4555","272","4079","263","476","126","2070","211","890","88","78","35","78","35","0","23","812","101"
"5001600US5305","Congressional District 5 (116th Congress), Washington","32219","286","16315","209","15311","216","10850","443","191","92","10659","452","9848","463","811","176","4461","399","1004","62","154","66","139","61","15","18","850","87","15904","222","14666","225","9554","404","45","34","9509","400","8579","432","930","198","5112","373","1238","64","329","115","306","111","23","33","909","126"
"5001600US1211","Congressional District 11 (116th Congress), Florida","59805","1530","30860","997","25578","961","17246","944","28","35","17218","947","15605","909","1613","389","8332","765","5282","265","343","159","343","159","0","31","4939","299","28945","849","22717","757","13639","830","0","31","13639","830","12781","798","858","236","9078","657","6228","341","359","117","359","117","0","31","5869","364"
"5001600US0504","Congressional District 4 (116th Congress), Arkansas","26377","272","13274","303","12686","293","9908","372","0","28","9908","372","9463","367","445","171","2778","311","588","123","186","75","178","75","8","8","402","119","13103","294","12154","329","7155","437","0","28","7155","437","6828","419","327","110","4999","391","949","257","72","56","72","56","0","28","877","257"
"5001600US0608","Congressional District 8 (116th Congress), California","198463","2931","100620","2000","91765","2002","67790","1682","2192","363","65598","1692","58830","1615","6768","742","23975","1305","8855","550","1166","285","1121","281","45","32","7689","515","97843","1863","87600","1750","50552","1608","179","93","50373","1617","43621","1606","6752","723","37048","1380","10243","677","679","190","646","187","33","30","9564","674"
"5001600US1220","Congressional District 20 (116th Congress), Florida","147660","3239","73454","2047","65167","1811","54280","1664","30","29","54250","1661","50910","1699","3340","461","10887","866","8287","761","2008","385","1926","379","82","66","6279","701","74206","1875","63144","1663","44294","1554","0","31","44294","1554","41068","1581","3226","527","18850","1271","11062","794","1397","306","1324","313","73","55","9665","771"
"5001600US3602","Congressional District 2 (116th Congress), New York","122004","2105","61764","1212","57205","1179","48415","1189","178","113","48237","1191","45578","1186","2659","435","8790","718","4559","398","1217","269","1203","268","14","25","3342","306","60240","1439","54169","1365","39366","1267","0","28","39366","1267","37090","1207","2276","408","14803","833","6071","372","905","184","893","188","12","20","5166","369"
"5001600US4215","Congressional District 15 (116th Congress), Pennsylvania","8319","252","5668","266","5352","274","1571","191","4","7","1567","191","1397","193","170","110","3781","292","316","70","47","30","47","30","0","24","269","68","2651","216","2331","211","1409","212","0","24","1409","212","1180","191","229","74","922","199","320","113","9","7","9","7","0","24","311","111"
"5001600US2705","Congressional District 5 (116th Congress), Minnesota","42877","1119","22715","690","21940","707","19327","649","0","20","19327","649","18558","617","769","158","2613","373","775","98","93","45","93","45","0","20","682","103","20162","652","19229","633","14006","603","0","20","14006","603","12818","636","1188","229","5223","447","933","108","165","99","165","99","0","20","768","138"
"5001600US2706","Congressional District 6 (116th Congress), Minnesota","12690","720","6728","409","6541","406","5188","391","0","20","5188","391","4971","414","217","110","1353","242","187","73","68","45","60","42","8","13","119","60","5962","453","5684","441","4467","392","0","20","4467","392","4336","409","131","68","1217","256","278","109","51","40","51","40","0","20","227","110"
"5001600US2408","Congressional District 8 (116th Congress), Maryland","81069","1986","40639","1229","37853","1175","33925","1109","185","98","33740","1121","32156","1043","1584","347","3928","414","2786","290","1251","211","1153","192","98","114","1535","218","40430","1038","35966","943","27481","892","59","51","27422","898","25093","897","2329","424","8485","715","4464","318","1427","271","1395","263","32","44","3037","285"
"5001600US3410","Congressional District 10 (116th Congress), New Jersey","111151","2577","55459","1642","50263","1522","39934","1300","52","51","39882","1313","37016","1302","2866","391","10329","818","5196","544","1380","275","1252","242","128","107","3816","431","55692","1368","49024","1323","33864","1071","14","22","33850","1070","30211","1093","3639","469","15160","881","6668","440","793","203","735","202","58","52","5875","465"
"5001600US1208","Congressional District 8 (116th Congress), Florida","59136","655","28916","375","25047","372","19317","611","223","108","19094","600","17758","634","1336","367","5730","605","3869","82","642","173","642","173","0","31","3227","201","30220","422","24944","375","15722","692","9","12","15713","695","14548","709","1165","379","9222","646","5276","127","540","164","531","164","9","17","4736","199"
"5001600US0647","Congressional District 47 (116th Congress), California","182287","3117","90089","1976","83809","1841","68413","1665","66","54","68347","1663","64390","1642","3957","366","15396","900","6280","554","1432","255","1373","251","59","54","4848","489","92198","2060","83923","1991","54530","1725","20","33","54510","1730","51007","1616","3503","433","29393","1178","8275","578","1225","237","1188","231","37","34","7050","491"
"5001600US3411","Congressional District 11 (116th Congress), New Jersey","61554","1711","30020","1129","27461","1140","23760","1062","68","57","23692","1055","22647","1071","1045","232","3701","425","2559","288","829","207","721","200","108","74","1730","259","31534","962","27533","884","21122","884","0","28","21122","884","19963","889","1159","236","6411","561","4001","363","699","194","682","191","17","19","3302","366"
"5001600US3908","Congressional District 8 (116th Congress), Ohio","15955","133","8483","151","7991","157","6483","276","0","27","6483","276","6048","302","435","161","1508","251","492","76","151","60","109","60","42","48","341","95","7472","128","6953","129","4270","258","0","27","4270","258","3915","267","355","128","2683","268","519","57","81","55","81","55","0","27","438","70"
"5001600US2509","Congressional District 9 (116th Congress), Massachusetts","26489","956","13719","676","12926","656","9462","644","49","42","9413","643","8615","569","798","237","3464","477","793","108","208","73","208","73","0","29","585","111","12770","509","11649","460","7146","469","9","20","7137","469","6507","495","630","192","4503","454","1121","166","147","76","140","75","7","12","974","155"
"5001600US0804","Congressional District 4 (116th Congress), Colorado","122083","1023","63603","768","58201","746","45714","831","147","89","45567","836","42909","866","2658","369","12487","881","5402","174","1255","173","1167","169","88","64","4147","225","58480","606","52370","603","34362","981","23","27","34339","976","31945","994","2394","367","18008","931","6110","155","919","176","900","175","19","18","5191","219"
"5001600US3620","Congressional District 20 (116th Congress), New York","32332","423","15909","250","15016","259","11127","434","95","58","11032","426","10298","420","734","196","3889","446","893","106","248","79","248","79","0","28","645","101","16423","275","14972","270","10475","391","35","36","10440","386","9320","423","1120","244","4497","427","1451","35","206","76","187","71","19","29","1245","84"
