"GEO_ID","NAME","C23002B_001E","C23002B_001M","C23002B_002E","C23002B_002M","C23002B_003E","C23002B_003M","C23002B_004E","C23002B_004M","C23002B_005E","C23002B_005M","C23002B_006E","C23002B_006M","C23002B_007E","C23002B_007M","C23002B_008E","C23002B_008M","C23002B_009E","C23002B_009M","C23002B_010E","C23002B_010M","C23002B_011E","C23002B_011M","C23002B_012E","C23002B_012M","C23002B_013E","C23002B_013M","C23002B_014E","C23002B_014M","C23002B_015E","C23002B_015M","C23002B_016E","C23002B_016M","C23002B_017E","C23002B_017M","C23002B_018E","C23002B_018M","C23002B_019E","C23002B_019M","C23002B_020E","C23002B_020M","C23002B_021E","C23002B_021M","C23002B_022E","C23002B_022M","C23002B_023E","C23002B_023M","C23002B_024E","C23002B_024M","C23002B_025E","C23002B_025M","C23002B_026E","C23002B_026M","C23002B_027E","C23002B_027M"
"0400000US09","Connecticut","297459","2213","139553","1303","124067","1286","89704","1309","598","189","89106","1297","77067","1407","12039","664","34363","1253","15486","212","3545","370","3302","355","243","109","11941","388","157906","1452","133690","1462","103479","1744","160","98","103319","1727","92369","1747","10950","838","30211","1125","24216","290","4884","421","4476","411","408","152","19332","466"
"0400000US10","Delaware","163417","900","75255","680","65342","681","46475","1039","444","190","46031","1033","41462","997","4569","550","18867","861","9913","87","2434","303","2360","298","74","50","7479","319","88162","541","74260","553","54705","974","29","30","54676","969","50641","1002","4035","431","19555","859","13902","115","2485","290","2272","298","213","85","11417","314"
"0400000US11","District of Columbia","259080","1057","113955","626","96309","614","64753","1152","453","154","64300","1157","54629","1190","9671","727","31556","1057","17646","147","3819","366","3527","391","292","128","13827","398","145125","743","115470","729","79535","1273","115","59","79420","1272","68224","1367","11196","846","35935","1174","29655","182","5012","404","4790","398","222","79","24643","445"
"0400000US12","Florida","2553378","5428","1204807","3697","1057675","3524","728259","4316","5739","713","722520","4378","639851","4655","82669","2305","329416","4352","147132","730","27622","1161","26018","1151","1604","251","119510","1191","1348571","3462","1144192","3250","820454","4507","1834","331","818620","4491","740199","4465","78421","2141","323738","4447","204379","1019","28243","997","26245","1019","1998","388","176136","1353"
"0400000US13","Georgia","2488647","3460","1136913","2228","1014949","2162","701631","3844","7390","735","694241","3991","621515","4369","72726","2652","313318","3887","121964","600","22417","1047","21192","1040","1225","247","99547","1030","1351734","2236","1165184","2028","842573","4612","1822","355","840751","4586","760452","4655","80299","2480","322611","4085","186550","681","24698","1115","23160","999","1538","291","161852","1109"
"0400000US16","Idaho","8481","569","5249","434","4803","418","3459","390","325","118","3134","379","2853","384","281","166","1344","311","446","149","108","74","92","77","16","22","338","144","3232","397","2934","395","2093","328","48","46","2045","333","1760","314","285","180","841","214","298","91","24","24","13","16","11","17","274","98"
"0400000US15","Hawaii","22100","697","14254","483","13394","465","11501","511","4437","412","7064","515","6600","493","464","177","1893","306","860","116","310","98","291","96","19","30","550","125","7846","388","7266","372","5435","406","900","215","4535","359","3741","360","794","240","1831","266","580","115","75","58","75","58","0","26","505","118"
"0400000US17","Illinois","1423878","2137","654034","1490","568940","1482","375646","2845","1932","369","373714","2841","308808","2840","64906","2257","193294","2827","85094","337","13432","607","12432","633","1000","226","71662","658","769844","1557","636830","1646","450654","3513","514","226","450140","3517","385005","3001","65135","2031","186176","3091","133014","460","18368","778","16957","735","1411","231","114646","871"
"0400000US18","Indiana","465075","2231","219525","1161","194981","1160","129644","1888","202","101","129442","1870","111677","1822","17765","987","65337","1738","24544","283","4233","369","3907","367","326","97","20311","427","245550","1537","209403","1488","152587","1877","61","88","152526","1876","134633","1803","17893","1076","56816","1677","36147","249","5414","485","5036","478","378","101","30733","546"
"0400000US19","Iowa","77632","921","42048","618","39238","602","28476","757","46","47","28430","751","25391","721","3039","397","10762","690","2810","198","799","187","695","185","104","67","2011","207","35584","700","32449","697","22897","742","1","3","22896","742","20254","742","2642","406","9552","691","3135","164","460","108","460","108","0","22","2675","190"
"0400000US20","Kansas","129359","1164","67323","887","60437","890","43294","980","2424","390","40870","967","37330","974","3540","502","17143","723","6886","236","1682","235","1587","232","95","43","5204","274","62036","752","52620","742","38405","826","323","110","38082","830","34759","910","3323","491","14215","733","9416","210","1487","210","1443","207","44","38","7929","253"
"0400000US21","Kentucky","275565","1714","136844","1116","121912","1125","83437","1338","2105","349","81332","1343","71867","1416","9465","777","38475","1219","14932","334","2785","310","2655","293","130","97","12147","372","138721","1114","117151","1154","85512","1297","289","110","85223","1293","76404","1336","8819","703","31639","1207","21570","344","3088","382","2923","378","165","105","18482","455"
"0400000US22","Louisiana","1140035","2097","529611","1461","463066","1457","285500","2520","2180","354","283320","2501","246408","2525","36912","1666","177566","2581","66545","329","11107","664","10791","674","316","97","55438","718","610424","1418","513988","1363","347251","2936","602","201","346649","2955","313874","3141","32775","1445","166737","2911","96436","285","13572","855","12890","844","682","140","82864","898"
"0400000US23","Maine","12257","553","7216","384","6710","357","5027","427","44","41","4983","433","4529","435","454","156","1683","260","506","117","148","72","138","70","10","20","358","100","5041","358","4830","352","3319","432","6","16","3313","434","2992","439","321","117","1511","260","211","90","43","38","37","36","6","9","168","84"
"0400000US24","Maryland","1417703","2332","646810","1554","564237","1559","425286","2592","2875","407","422411","2570","383146","2733","39265","1554","138951","2447","82573","307","21177","850","19982","832","1195","236","61396","903","770893","1646","644533","1654","496165","2760","950","212","495215","2794","457273","2732","37942","1358","148368","2786","126360","346","23241","836","21637","845","1604","250","103119","845"
"0400000US25","Massachusetts","397127","3154","190144","1812","170161","1745","129621","1991","365","247","129256","1965","115535","1812","13721","998","40540","1483","19983","353","5259","379","4829","360","430","141","14724","434","206983","1868","178215","1851","135861","2000","147","113","135714","1977","124744","2060","10970","806","42354","1435","28768","396","5037","362","4841","363","196","96","23731","460"
"0400000US26","Michigan","1067163","2289","495061","1522","428988","1484","273972","2086","350","135","273622","2092","227170","1955","46452","1531","155016","2110","66073","319","9697","591","8959","595","738","166","56376","619","572102","1609","473724","1611","328196","2530","90","74","328106","2537","285393","2595","42713","1369","145528","2250","98378","340","11808","568","11028","547","780","149","86570","646"
