C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,GEO_ID,NAME
267020,3450,133727,2225,116407,2050,96666,1809,22,22,96644,1809,92331,1880,4313,463,19741,999,17320,812,5775,478,5419,491,356,133,11545,683,133293,2221,110673,2070,79801,1672,10,15,79791,1670,75818,1742,3973,492,30872,1266,22620,899,4796,357,4621,369,175,73,17824,821,5001600US0637,"Congressional District 37 (116th Congress), California"
254397,4640,124796,2711,100302,2495,78304,2042,201,77,78103,2059,73248,1886,4855,527,21998,1140,24494,842,4164,349,3987,352,177,57,20330,778,129601,2548,98779,2300,67340,1942,69,73,67271,1936,63570,1847,3701,402,31439,1077,30822,793,3286,331,3214,327,72,34,27536,780,5001600US0638,"Congressional District 38 (116th Congress), California"
305989,3686,150143,2281,122017,2033,100318,1717,82,56,100236,1709,95183,1667,5053,513,21699,1037,28126,882,7077,554,6882,548,195,79,21049,882,155846,2330,120298,2185,85935,1965,13,18,85922,1967,81173,1927,4749,489,34363,1205,35548,996,5037,467,4915,463,122,62,30511,957,5001600US0639,"Congressional District 39 (116th Congress), California"
297394,4337,147043,2591,130406,2586,105763,2324,66,46,105697,2325,99544,2301,6153,563,24643,980,16637,726,3368,353,3202,358,166,64,13269,675,150351,2565,129374,2364,79547,2096,0,29,79547,2096,73112,1974,6435,615,49827,1371,20977,695,2462,289,2358,281,104,63,18515,692,5001600US0640,"Congressional District 40 (116th Congress), California"
287209,5367,142144,2865,122072,2728,95794,2375,149,68,95645,2375,89144,2299,6501,516,26278,1326,20072,823,4033,378,3820,354,213,83,16039,780,145065,3151,120249,2762,76382,1931,26,22,76356,1934,70826,1790,5530,553,43867,1440,24816,969,2821,285,2671,277,150,86,21995,938,5001600US0641,"Congressional District 41 (116th Congress), California"
390828,4607,192171,2736,160949,2552,128672,2295,1570,269,127102,2322,119496,2265,7606,673,32277,1327,31222,862,5929,444,5693,445,236,86,25293,899,198657,2676,159648,2409,102707,1855,152,94,102555,1852,95933,1758,6622,607,56941,1827,39009,1021,4677,435,4479,405,198,92,34332,963,5001600US0642,"Congressional District 42 (116th Congress), California"
215653,4098,107123,2579,91171,2582,74353,2224,86,55,74267,2223,70178,2123,4089,504,16818,941,15952,775,4063,425,3935,408,128,62,11889,665,108530,2198,88752,2098,60520,1708,64,51,60456,1710,57282,1584,3174,436,28232,1243,19778,802,2868,312,2713,302,155,79,16910,754,5001600US0643,"Congressional District 43 (116th Congress), California"
240391,3732,118532,2174,104000,2231,83451,1945,171,68,83280,1940,77303,1973,5977,637,20549,1008,14532,659,2748,315,2621,310,127,70,11784,602,121859,2125,103242,1997,64457,1555,19,23,64438,1553,59168,1485,5270,524,38785,1376,18617,723,2121,261,2070,257,51,38,16496,696,5001600US0644,"Congressional District 44 (116th Congress), California"
403924,3319,197737,2576,159589,2287,133222,2152,111,66,133111,2153,127355,2197,5756,538,26367,1291,38148,960,12677,671,12077,593,600,210,25471,901,206187,2104,156395,2113,109350,2051,25,34,109325,2049,104441,2121,4884,551,47045,1811,49792,947,8786,619,8500,643,286,126,41006,1025,5001600US0645,"Congressional District 45 (116th Congress), California"
316730,5180,159438,3342,141336,3213,113242,2529,190,148,113052,2528,107358,2472,5694,569,28094,1400,18102,823,4296,478,4196,480,100,47,13806,808,157292,2713,132993,2506,89326,2065,0,29,89326,2065,85096,2093,4230,504,43667,1731,24299,929,3100,315,3014,320,86,41,21199,850,5001600US0646,"Congressional District 46 (116th Congress), California"
