C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,GEO_ID,NAME
491924,4067,246336,2989,179952,2670,148750,2345,194,110,148556,2334,141917,2283,6639,586,31202,1529,66384,1352,17476,793,16810,784,666,168,48908,1198,245588,2484,169333,2265,121933,1899,38,33,121895,1901,115661,1951,6234,646,47400,1649,76255,1211,12195,770,11703,742,492,134,64060,1146,5001600US1222,"Congressional District 22 (116th Congress), Florida"
464402,4174,221944,2837,175389,2807,144033,2497,380,142,143653,2509,137460,2395,6193,689,31356,1651,46555,1205,12735,648,12211,637,524,135,33820,1110,242458,2735,181531,2462,129473,2332,94,83,129379,2327,123026,2161,6353,666,52058,1700,60927,1313,9309,584,8945,575,364,144,51618,1239,5001600US1223,"Congressional District 23 (116th Congress), Florida"
266213,4454,133518,2776,111731,2606,89421,2449,50,41,89371,2447,85098,2274,4273,540,22310,1061,21787,946,4874,380,4605,378,269,89,16913,812,132695,2791,104432,2404,72396,1979,8,12,72388,1979,68112,1912,4276,534,32036,1711,28263,1108,3659,371,3512,351,147,106,24604,1110,5001600US1224,"Congressional District 24 (116th Congress), Florida"
573913,4046,278318,2776,218416,2879,176036,2803,170,110,175866,2801,170146,2851,5720,723,42380,2176,59902,1298,11411,737,11083,751,328,133,48491,1251,295595,2910,218710,2632,152214,2474,9,14,152205,2475,144272,2335,7933,898,66496,2167,76885,1506,7984,617,7775,625,209,76,68901,1608,5001600US1225,"Congressional District 25 (116th Congress), Florida"
508126,4551,246524,2592,205538,2352,162268,2231,1173,231,161095,2210,154669,2158,6426,675,43270,1678,40986,963,9547,528,9244,535,303,112,31439,984,261602,2997,206185,2631,143021,2277,165,92,142856,2296,136564,2210,6292,664,63164,2062,55417,1347,7071,572,6923,565,148,59,48346,1380,5001600US1226,"Congressional District 26 (116th Congress), Florida"
544324,4636,263013,2828,212171,2715,175341,2452,199,94,175142,2454,168295,2508,6847,787,36830,1657,50842,1234,13147,653,12890,647,257,88,37695,1187,281311,3048,210537,2697,149518,2722,46,44,149472,2724,143012,2706,6460,728,61019,2045,70774,1301,9008,580,8812,590,196,84,61766,1323,5001600US1227,"Congressional District 27 (116th Congress), Florida"
375904,1314,185483,922,148692,896,118072,1116,10597,573,107475,1261,102257,1449,5218,690,30620,988,36791,220,7996,530,7897,531,99,58,28795,558,190421,770,146345,751,96471,1370,650,172,95821,1358,89807,1395,6014,546,49874,1332,44076,280,6285,515,6095,531,190,99,37791,557,5001600US1301,"Congressional District 1 (116th Congress), Georgia"
234352,1621,117306,1003,92322,1007,68058,1224,7275,563,60783,1146,57474,1198,3309,466,24264,932,24984,393,5290,334,5170,347,120,72,19694,472,117046,966,84980,857,54187,996,245,89,53942,997,50414,969,3528,436,30793,968,32066,389,3906,336,3841,336,65,39,28160,470,5001600US1302,"Congressional District 2 (116th Congress), Georgia"
407520,2126,198286,1163,159039,1147,126331,1418,1482,283,124849,1426,119185,1555,5664,586,32708,1133,39247,482,8560,558,8401,549,159,71,30687,686,209234,1248,160426,1199,105152,1580,52,40,105100,1580,99883,1584,5217,490,55274,1523,48808,421,5354,496,5271,497,83,55,43454,663,5001600US1303,"Congressional District 3 (116th Congress), Georgia"
171743,2170,82725,1691,65505,1610,53527,1505,47,32,53480,1508,51135,1537,2345,326,11978,837,17220,648,4305,452,4144,444,161,92,12915,567,89018,1356,66779,1188,46065,1190,4,8,46061,1191,44105,1107,1956,340,20714,1118,22239,587,3324,368,3250,357,74,63,18915,628,5001600US1304,"Congressional District 4 (116th Congress), Georgia"
217623,2949,111596,2081,99204,2052,83995,1774,234,116,83761,1788,81261,1690,2500,356,15209,978,12392,641,3542,322,3474,329,68,52,8850,529,106027,1675,90750,1642,70243,1350,42,39,70201,1349,68363,1369,1838,280,20507,1127,15277,724,2782,315,2710,313,72,47,12495,672,5001600US1305,"Congressional District 5 (116th Congress), Georgia"
408755,3227,202729,2285,166867,2144,145982,2040,254,128,145728,2049,141703,1997,4025,477,20885,901,35862,779,12069,649,11580,643,489,139,23793,750,206026,1751,162150,1603,117186,2031,10,15,117176,2031,112586,1952,4590,520,44964,1440,43876,740,8465,593,8301,590,164,77,35411,811,5001600US1306,"Congressional District 6 (116th Congress), Georgia"
345317,3160,168915,1932,143332,1847,121520,2022,175,94,121345,2031,117662,2010,3683,399,21812,1218,25583,604,6822,508,6634,497,188,76,18761,607,176402,1712,143170,1576,99720,1640,26,33,99694,1642,95944,1736,3750,441,43450,1483,33232,676,5560,579,5277,543,283,119,27672,775,5001600US1307,"Congressional District 7 (116th Congress), Georgia"
359434,1418,176037,816,140148,783,106300,1252,3200,484,103100,1230,98469,1329,4631,541,33848,1239,35889,296,7602,409,7471,404,131,52,28287,476,183397,957,137934,921,89487,1436,509,185,88978,1456,84553,1432,4425,555,48447,1497,45463,329,5867,447,5790,445,77,38,39596,546,5001600US1308,"Congressional District 8 (116th Congress), Georgia"
529224,1634,257551,1163,199012,1150,155868,1287,470,164,155398,1274,149374,1427,6024,679,43144,1254,58539,346,10170,592,9860,589,310,105,48369,628,271673,1050,203149,943,132536,1624,76,78,132460,1611,126909,1586,5551,549,70613,1531,68524,373,8582,636,8358,631,224,80,59942,665,5001600US1309,"Congressional District 9 (116th Congress), Georgia"
415376,2791,204029,1937,165117,1770,127150,1877,491,180,126659,1946,121325,2017,5334,608,37967,1519,38912,518,8400,566,8218,567,182,73,30512,653,211347,1411,165745,1239,108562,1726,108,75,108454,1716,104089,1734,4365,509,57183,1541,45602,649,5813,466,5645,461,168,72,39789,796,5001600US1310,"Congressional District 10 (116th Congress), Georgia"
452696,2647,219981,1770,183725,1509,153890,1867,428,147,153462,1873,147803,1876,5659,562,29835,1349,36256,636,9216,570,8996,568,220,95,27040,756,232715,1403,186872,1433,131620,2013,43,52,131577,2003,125969,1924,5608,713,55252,1926,45843,574,7143,464,6961,475,182,116,38700,673,5001600US1311,"Congressional District 11 (116th Congress), Georgia"
344532,1317,170897,863,139193,815,103402,1623,5608,684,97794,1715,92782,1774,5012,591,35791,1527,31704,334,6311,477,6210,474,101,59,25393,577,173635,836,134062,780,84210,1348,1162,253,83048,1388,78919,1303,4129,483,49852,1403,39573,440,4942,467,4849,463,93,59,34631,532,5001600US1312,"Congressional District 12 (116th Congress), Georgia"
188084,3212,90480,2007,70865,1948,56909,1951,114,73,56795,1955,53543,1847,3252,583,13956,866,19615,702,4314,486,4131,486,183,109,15301,689,97604,1834,73077,1663,50015,1453,18,24,49997,1454,47181,1381,2816,413,23062,1145,24527,720,2794,347,2660,335,134,73,21733,752,5001600US1313,"Congressional District 13 (116th Congress), Georgia"
484652,1495,234993,937,192497,935,150783,1463,350,171,150433,1430,143590,1513,6843,643,41714,1408,42496,214,7697,600,7380,574,317,125,34799,615,249659,883,195342,858,128198,2074,1,3,128197,2073,121753,2193,6444,687,67144,1880,54317,239,6217,540,6079,521,138,78,48100,570,5001600US1314,"Congressional District 14 (116th Congress), Georgia"
107189,1545,61922,1061,50867,966,44804,1046,12436,659,32368,1034,31505,1031,863,194,6063,563,11055,331,3722,286,3629,287,93,42,7333,326,45267,856,35204,775,24885,736,1466,240,23419,765,22369,755,1050,213,10319,573,10063,316,2139,260,2029,257,110,53,7924,349,5001600US1501,"Congressional District 1 (116th Congress), Hawaii"
196376,1653,102987,1066,77649,1014,63810,1036,11742,565,52068,1041,49344,1053,2724,367,13839,804,25338,321,6844,496,6631,501,213,97,18494,591,93389,952,68877,872,48675,1004,1353,239,47322,1009,44641,970,2681,387,20202,965,24512,302,5053,379,4819,378,234,104,19459,446,5001600US1502,"Congressional District 2 (116th Congress), Hawaii"
630023,2330,311328,1493,244357,1409,190400,1945,665,210,189735,1965,181136,1972,8599,806,53957,1704,66971,514,12384,821,12003,811,381,129,54587,893,318695,1651,244492,1552,168989,2255,221,156,168768,2235,162127,2335,6641,749,75503,2083,74203,614,9277,688,9052,699,225,96,64926,806,5001600US1601,"Congressional District 1 (116th Congress), Idaho"
575334,2151,288057,1463,235417,1420,192787,2011,2240,294,190547,2054,182692,1930,7855,650,42630,1507,52640,468,11879,573,11522,537,357,124,40761,770,287277,1455,227944,1379,157048,1815,428,165,156620,1816,149718,1895,6902,686,70896,1667,59333,558,8546,564,8361,581,185,82,50787,734,5001600US1602,"Congressional District 2 (116th Congress), Idaho"
237015,2184,115297,1467,93784,1366,77315,1489,26,25,77289,1489,72876,1456,4413,538,16469,901,21513,626,5168,399,5020,398,148,68,16345,681,121718,1405,93755,1275,68237,1316,7,11,68230,1315,65322,1323,2908,409,25518,1122,27963,812,4594,444,4371,431,223,77,23369,886,5001600US1701,"Congressional District 1 (116th Congress), Illinois"
210205,2349,102040,1419,79540,1524,62678,1420,144,82,62534,1415,58044,1334,4490,438,16862,925,22500,661,4479,324,4310,337,169,95,18021,597,108165,1381,78857,1288,54274,1306,1,2,54273,1306,50649,1293,3624,415,24583,967,29308,739,4218,358,3970,344,248,95,25090,778,5001600US1702,"Congressional District 2 (116th Congress), Illinois"
433461,3731,213290,2432,173474,2219,141815,2230,91,76,141724,2239,134504,2164,7220,528,31659,1166,39816,999,7838,476,7468,466,370,143,31978,928,220171,2233,167800,1867,117633,1953,19,31,117614,1952,110360,1743,7254,654,50167,1445,52371,1285,6988,482,6668,474,320,95,45383,1136,5001600US1703,"Congressional District 3 (116th Congress), Illinois"
321085,4621,160652,2754,139452,2604,117767,2477,30,27,117737,2477,111340,2585,6397,592,21685,1080,21200,754,4417,392,4222,380,195,78,16783,686,160433,2570,134267,2476,94198,2089,35,50,94163,2096,88500,2067,5663,496,40069,1441,26166,797,3510,322,3387,308,123,74,22656,777,5001600US1704,"Congressional District 4 (116th Congress), Illinois"
502145,3819,247211,2848,212859,2567,186815,2468,102,64,186713,2463,180024,2448,6689,612,26044,1073,34352,881,8474,525,8283,524,191,79,25878,897,254934,2420,209325,2600,166866,2349,60,56,166806,2351,161523,2342,5283,465,42459,1487,45609,1196,7042,531,6910,529,132,76,38567,1055,5001600US1705,"Congressional District 5 (116th Congress), Illinois"
483155,2760,235343,1884,190028,1830,163606,1645,140,69,163466,1648,156909,1568,6557,517,26422,830,45315,928,13146,576,12889,571,257,87,32169,897,247812,1833,191970,1613,142974,1757,9,15,142965,1755,138216,1744,4749,470,48996,1304,55842,979,9379,612,9078,597,301,95,46463,925,5001600US1706,"Congressional District 6 (116th Congress), Illinois"
234258,3322,116903,2218,100908,2111,84154,1911,214,154,83940,1926,80840,1924,3100,409,16754,938,15995,791,5057,449,4950,430,107,59,10938,729,117355,2152,98524,2058,77854,1850,19,44,77835,1844,74280,1810,3555,431,20670,1103,18831,901,4477,504,4358,489,119,67,14354,818,5001600US1707,"Congressional District 7 (116th Congress), Illinois"
383281,4052,187304,2347,154835,2212,134602,2142,174,107,134428,2160,129105,2094,5323,501,20233,1005,32469,882,7965,486,7639,496,326,96,24504,837,195977,2499,152422,2280,117306,1957,0,27,117306,1957,112764,2015,4542,459,35116,1420,43555,860,8416,528,8174,519,242,110,35139,873,5001600US1708,"Congressional District 8 (116th Congress), Illinois"
429338,3256,207725,2325,163074,2108,135780,2129,107,83,135673,2117,130896,2119,4777,540,27294,1233,44651,1142,12772,633,12377,598,395,120,31879,942,221613,2036,162697,1910,117643,1812,0,27,117643,1812,113186,1743,4457,563,45054,1460,58916,1218,9226,602,8864,586,362,107,49690,1223,5001600US1709,"Congressional District 9 (116th Congress), Illinois"
408642,2873,202239,1745,162943,1640,138258,1648,5904,630,132354,1606,125811,1667,6543,572,24685,1048,39296,756,12281,582,11988,572,293,89,27015,795,206403,1799,156931,1672,113308,1738,905,267,112403,1766,107466,1680,4937,528,43623,1196,49472,858,8662,555,8405,567,257,89,40810,882,5001600US1710,"Congressional District 10 (116th Congress), Illinois"
383726,3511,187941,2295,157655,2154,135483,2200,119,73,135364,2192,128592,2208,6772,572,22172,896,30286,797,7317,530,7108,539,209,79,22969,903,195785,2110,155897,1957,117948,1903,67,58,117881,1895,112859,1817,5022,502,37949,1262,39888,825,6568,473,6412,456,156,87,33320,805,5001600US1711,"Congressional District 11 (116th Congress), Illinois"
443990,1065,217841,824,172916,843,132214,1385,2548,374,129666,1398,121697,1436,7969,545,40702,1209,44925,306,7571,440,7427,428,144,61,37354,492,226149,810,168998,724,120791,1219,485,167,120306,1207,114467,1284,5839,466,48207,1349,57151,412,6603,459,6404,452,199,80,50548,558,5001600US1712,"Congressional District 12 (116th Congress), Illinois"
478054,2005,233435,1459,188725,1362,141510,1657,238,95,141272,1649,133545,1596,7727,595,47215,1411,44710,485,9225,479,9050,474,175,79,35485,595,244619,1579,186445,1420,132266,1690,71,48,132195,1692,126991,1680,5204,488,54179,1451,58174,712,7751,535,7603,532,148,54,50423,737,5001600US1713,"Congressional District 13 (116th Congress), Illinois"
502922,3241,247002,2029,205146,1942,175964,1765,134,93,175830,1768,169013,1775,6817,676,29182,1305,41856,834,10553,602,10245,606,308,104,31303,782,255920,2156,205055,1853,153040,1916,44,53,152996,1924,147648,2039,5348,581,52015,1699,50865,968,8574,649,8310,640,264,103,42291,961,5001600US1714,"Congressional District 14 (116th Congress), Illinois"
518514,1337,254128,917,198366,894,153906,1102,234,83,153672,1120,145872,1194,7800,510,44460,1100,55762,334,10616,426,10317,423,299,99,45146,521,264386,889,195342,864,139647,1281,124,82,139523,1275,133152,1296,6371,515,55695,1217,69044,379,8499,489,8308,480,191,67,60545,615,5001600US1715,"Congressional District 15 (116th Congress), Illinois"
507624,1732,249588,1076,196578,1114,159439,1495,135,77,159304,1487,150018,1438,9286,604,37139,1224,53010,417,11517,572,11179,562,338,157,41493,697,258036,1060,192716,996,142559,1388,37,31,142522,1391,135601,1469,6921,610,50157,1295,65320,409,8624,456,8440,466,184,60,56696,603,5001600US1716,"Congressional District 16 (116th Congress), Illinois"
459143,1727,223108,1182,171881,1202,134123,1329,195,65,133928,1329,125356,1476,8572,670,37758,1076,51227,396,9511,383,9241,377,270,91,41716,534,236035,953,171824,908,126328,1018,85,76,126243,1011,119593,1077,6650,452,45496,1138,64211,437,8557,437,8408,428,149,62,55654,584,5001600US1717,"Congressional District 17 (116th Congress), Illinois"
518505,1917,250675,1219,195092,1193,157939,1306,410,114,157529,1313,150048,1366,7481,592,37153,1013,55583,435,11659,471,11455,466,204,72,43924,599,267830,1335,198774,1198,148121,1427,38,33,148083,1425,143096,1449,4987,462,50653,1116,69056,614,8637,458,8418,452,219,75,60419,731,5001600US1718,"Congressional District 18 (116th Congress), Illinois"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5001600US17ZZ,"Congressional Districts not defined (116th Congress), Illinois"
410616,1779,202148,1042,161791,959,128061,1339,89,64,127972,1347,120757,1309,7215,642,33730,1026,40357,312,7903,517,7753,515,150,73,32454,583,208468,1045,157437,973,109001,1310,0,28,109001,1310,103888,1293,5113,502,48436,1275,51031,317,6707,450,6615,447,92,48,44324,572,5001600US1801,"Congressional District 1 (116th Congress), Indiana"
496868,1483,242596,915,193909,888,156766,1518,248,106,156518,1518,149710,1493,6808,567,37143,1341,48687,288,11345,565,11067,534,278,109,37342,639,254272,875,193787,883,135521,1562,29,33,135492,1556,130062,1528,5430,471,58266,1335,60485,351,8553,570,8342,565,211,81,51932,567,5001600US1802,"Congressional District 2 (116th Congress), Indiana"
510003,1052,249280,743,202339,798,170455,977,275,100,170180,964,164285,1043,5895,561,31884,972,46941,220,10829,578,10674,575,155,62,36112,597,260723,688,201391,689,147464,1140,17,20,147447,1138,141830,1231,5617,429,53927,1204,59332,256,8140,506,8058,506,82,49,51192,532,5001600US1803,"Congressional District 3 (116th Congress), Indiana"
539695,1170,266670,715,218076,742,175160,1375,280,125,174880,1400,168745,1577,6135,662,42916,1361,48594,305,10614,529,10429,536,185,78,37980,558,273025,752,211830,769,153137,1333,28,36,153109,1329,146959,1346,6150,518,58693,1167,61195,348,8807,466,8617,460,190,82,52388,550,5001600US1804,"Congressional District 4 (116th Congress), Indiana"
519057,2188,249394,1547,204345,1540,171727,1629,352,164,171375,1668,165488,1669,5887,508,32618,1307,45049,420,11073,698,10690,692,383,143,33976,679,269663,1351,211482,1337,160520,1714,61,53,160459,1707,154850,1866,5609,593,50962,1609,58181,554,8835,561,8565,571,270,104,49346,760,5001600US1805,"Congressional District 5 (116th Congress), Indiana"
542678,835,264614,666,210981,623,165561,1322,304,105,165257,1319,157808,1432,7449,628,45420,1328,53633,187,10461,507,10263,494,198,77,43172,503,278064,500,211417,475,148377,1510,25,30,148352,1508,141670,1609,6682,556,63040,1522,66647,202,8998,611,8853,605,145,85,57649,628,5001600US1806,"Congressional District 6 (116th Congress), Indiana"
363075,2252,174919,1663,147348,1624,116491,1525,171,74,116320,1509,110170,1495,6150,579,30857,1336,27571,410,6416,431,6247,431,169,84,21155,521,188156,1328,152166,1325,108406,1777,58,58,108348,1762,102625,1687,5723,546,43760,1526,35990,504,5842,473,5670,451,172,128,30148,666,5001600US1807,"Congressional District 7 (116th Congress), Indiana"
532787,740,261736,523,209403,511,164645,1207,311,126,164334,1198,156958,1258,7376,518,44758,1131,52333,104,11702,581,11364,581,338,116,40631,579,271051,455,204800,455,145117,1374,52,72,145065,1362,139397,1381,5668,517,59683,1426,66251,114,9091,494,8816,480,275,108,57160,497,5001600US1808,"Congressional District 8 (116th Congress), Indiana"
558805,1107,272532,763,222745,758,174781,1393,720,263,174061,1466,165807,1586,8254,612,47964,1253,49787,258,11080,597,10841,584,239,83,38707,625,286273,673,223328,645,159173,1586,24,30,159149,1581,152685,1596,6464,591,64155,1422,62945,306,9090,553,8873,553,217,84,53855,634,5001600US1809,"Congressional District 9 (116th Congress), Indiana"
567920,947,278485,630,219581,601,185983,1114,185,91,185798,1120,179395,1189,6403,466,33598,1068,58904,105,13806,543,13491,556,315,87,45098,559,289435,540,216757,541,172507,1129,26,23,172481,1128,167506,1140,4975,422,44250,1022,72678,123,10578,520,10386,513,192,68,62100,539,5001600US1901,"Congressional District 1 (116th Congress), Iowa"
565226,907,277531,597,220783,574,179745,1379,291,71,179454,1390,171684,1432,7770,581,41038,1379,56748,119,13459,575,13265,573,194,79,43289,596,287695,580,217711,577,164981,1297,18,15,164963,1295,159464,1338,5499,496,52730,1321,69984,110,10307,519,10126,521,181,56,59677,506,5001600US1902,"Congressional District 2 (116th Congress), Iowa"
581585,939,282770,589,231988,587,198143,1165,542,171,197601,1189,190554,1317,7047,556,33845,927,50782,148,12957,568,12757,576,200,73,37825,572,298815,612,233968,622,185000,1377,31,26,184969,1377,178170,1356,6799,666,48968,1275,64847,141,10459,524,10241,511,218,93,54388,513,5001600US1903,"Congressional District 3 (116th Congress), Iowa"
562389,1013,279067,612,218374,617,180912,1147,366,131,180546,1144,174947,1171,5599,416,37462,1027,60693,62,15881,571,15657,571,224,61,44812,559,283322,622,207775,619,162040,1007,29,20,162011,1011,156780,1053,5231,504,45735,885,75547,117,10965,533,10791,533,174,65,64582,519,5001600US1904,"Congressional District 4 (116th Congress), Iowa"
495620,1329,248520,883,198853,879,164641,1170,8795,558,155846,1236,149714,1427,6132,643,34212,960,49667,181,13993,440,13799,452,194,81,35674,490,247100,688,186650,665,139085,1069,429,140,138656,1077,133289,1220,5367,488,47565,1048,60450,165,9934,456,9799,452,135,59,50516,467,5001600US2001,"Congressional District 1 (116th Congress), Kansas"
501999,810,246080,544,195687,554,156387,1157,1910,296,154477,1191,147460,1317,7017,610,39300,1125,50393,182,11519,482,11332,478,187,66,38874,498,255919,585,194072,571,144637,1201,193,80,144444,1215,139588,1242,4856,547,49435,1226,61847,163,9598,493,9437,482,161,70,52249,526,5001600US2002,"Congressional District 2 (116th Congress), Kansas"
486394,1305,236468,885,195301,862,169547,1160,302,109,169245,1139,163825,1129,5420,473,25754,947,41167,167,12104,490,11899,498,205,88,29063,491,249926,693,197807,675,151430,1371,85,68,151345,1366,146957,1491,4388,469,46377,1265,52119,150,9404,542,9227,541,177,67,42715,554,5001600US2003,"Congressional District 3 (116th Congress), Kansas"
468060,1525,229941,939,184858,897,153242,1359,1661,306,151581,1315,145127,1324,6454,594,31616,1076,45083,160,10470,513,10238,510,232,72,34613,523,238119,853,183016,815,133559,1328,176,78,133383,1326,127441,1280,5942,501,49457,1213,55103,149,8131,469,8068,467,63,37,46972,481,5001600US2004,"Congressional District 4 (116th Congress), Kansas"
517667,746,253252,542,199068,522,144367,1375,5743,451,138624,1371,130862,1427,7762,554,54701,1360,54184,105,9570,550,9287,544,283,91,44614,547,264415,499,197070,514,124249,1706,337,196,123912,1684,117809,1816,6103,557,72821,1736,67345,135,7471,424,7287,423,184,81,59874,429,5001600US2101,"Congressional District 1 (116th Congress), Kentucky"
544055,1103,265353,763,215381,748,166956,1458,2672,306,164284,1486,155965,1673,8319,693,48425,1303,49972,239,9241,487,9034,467,207,91,40731,537,278702,666,216796,626,146843,1601,377,127,146466,1592,139085,1747,7381,728,69953,1583,61906,249,7082,521,6904,495,178,91,54824,542,5001600US2102,"Congressional District 2 (116th Congress), Kentucky"
440830,949,212163,700,170678,686,139240,1148,241,98,138999,1180,132843,1321,6156,512,31438,981,41485,187,9700,495,9490,503,210,77,31785,480,228667,518,173309,504,129136,1224,17,19,129119,1225,123896,1271,5223,488,44173,1236,55358,189,8350,500,8173,479,177,72,47008,515,5001600US2103,"Congressional District 3 (116th Congress), Kentucky"
556111,1269,272187,859,222987,847,175133,1240,375,138,174758,1225,166950,1406,7808,621,47854,1170,49200,266,11232,495,10984,471,248,89,37968,526,283924,803,223330,749,158742,1486,19,23,158723,1484,152335,1442,6388,539,64588,1369,60594,305,8283,489,8076,476,207,89,52311,552,5001600US2104,"Congressional District 4 (116th Congress), Kentucky"
542602,850,264440,661,211318,678,122750,1855,156,135,122594,1842,110611,1835,11983,860,88568,1734,53122,169,6274,471,6126,476,148,72,46848,517,278162,586,213250,560,111219,1798,0,27,111219,1798,103508,1755,7711,611,102031,1810,64912,236,5900,480,5782,480,118,57,59012,563,5001600US2105,"Congressional District 5 (116th Congress), Kentucky"
532728,1198,256238,745,211479,695,163892,1267,326,120,163566,1278,155146,1413,8420,650,47587,1186,44759,286,10935,532,10419,503,516,121,33824,612,276490,818,219169,748,153038,1692,44,40,152994,1689,145185,1842,7809,669,66131,1591,57321,312,8167,529,7905,487,262,139,49154,596,5001600US2106,"Congressional District 6 (116th Congress), Kentucky"
514893,2652,248381,1786,197884,1547,158393,1821,1635,281,156758,1816,148964,1871,7794,852,39491,1223,50497,677,14015,609,13817,614,198,82,36482,704,266512,1465,202871,1322,138386,1754,110,69,138276,1744,132002,1838,6274,625,64485,1714,63641,779,9847,608,9568,579,279,132,53794,795,5001600US2201,"Congressional District 1 (116th Congress), Louisiana"
211727,2463,107075,1495,87332,1456,69600,1414,525,118,69075,1412,65699,1369,3376,476,17732,877,19743,534,5187,336,4982,341,205,79,14556,538,104652,1513,80960,1428,57415,1244,97,58,57318,1239,54514,1299,2804,376,23545,1072,23692,681,4005,431,3819,408,186,93,19687,674,5001600US2202,"Congressional District 2 (116th Congress), Louisiana"
440875,1010,214505,716,175133,727,138841,1176,216,111,138625,1171,131070,1398,7555,777,36292,1303,39372,187,8972,498,8691,473,281,109,30400,525,226370,630,177666,642,115056,1491,7,10,115049,1492,109217,1632,5832,549,62610,1581,48704,154,6170,481,5981,476,189,81,42534,485,5001600US2203,"Congressional District 3 (116th Congress), Louisiana"
366748,1217,182872,842,144746,863,108063,1499,7466,676,100597,1622,94410,1648,6187,576,36683,1362,38126,219,8319,534,8128,521,191,86,29807,555,183876,668,136932,645,83129,1320,844,224,82285,1374,77660,1451,4625,585,53803,1417,46944,220,5876,468,5787,473,89,54,41068,477,5001600US2204,"Congressional District 4 (116th Congress), Louisiana"
370069,1854,181624,1125,142254,1141,97629,1246,529,160,97100,1255,91273,1243,5827,575,44625,1463,39370,396,8181,485,7999,478,182,84,31189,590,188445,1075,139910,996,85631,1382,79,58,85552,1384,81267,1374,4285,515,54279,1248,48535,384,6204,428,5986,411,218,120,42331,459,5001600US2205,"Congressional District 5 (116th Congress), Louisiana"
446739,2384,217886,1311,178513,1284,144014,1742,487,175,143527,1736,137275,1779,6252,697,34499,1554,39373,491,9002,643,8747,636,255,107,30371,705,228853,1436,180102,1265,123508,1738,52,55,123456,1731,119377,1656,4079,455,56594,1840,48751,506,6963,524,6787,522,176,84,41788,678,5001600US2206,"Congressional District 6 (116th Congress), Louisiana"
540185,784,259602,594,200791,630,165957,1201,1135,286,164822,1235,158437,1222,6385,629,34834,1239,58811,261,15550,637,15053,630,497,149,43261,634,280583,583,207596,604,161771,1532,73,36,161698,1529,157007,1537,4691,497,45825,1508,72987,270,12897,641,12645,634,252,97,60090,702,5001600US2301,"Congressional District 1 (116th Congress), Maine"
520219,692,253811,516,193695,554,147200,1228,531,117,146669,1247,138743,1259,7926,594,46495,1286,60116,274,12683,596,12175,579,508,126,47433,650,266408,470,196432,502,140197,1331,56,34,140141,1335,134213,1358,5928,417,56235,1375,69976,268,10282,478,9905,473,377,126,59694,482,5001600US2302,"Congressional District 2 (116th Congress), Maine"
497504,1680,241588,1160,186569,1134,153418,1369,701,179,152717,1372,145811,1371,6906,600,33151,1104,55019,347,14548,634,14189,632,359,96,40471,695,255916,1087,190258,1046,141749,1575,26,30,141723,1573,135855,1560,5868,412,48509,1344,65658,581,10560,547,10361,532,199,83,55098,721,5001600US2401,"Congressional District 1 (116th Congress), Maryland"
338935,3059,164251,1891,133104,1842,109032,1790,3694,512,105338,1801,100135,1759,5203,547,24072,985,31147,640,7400,456,7114,458,286,116,23747,709,174684,1950,133272,1901,98106,1809,906,264,97200,1777,92826,1717,4374,529,35166,1274,41412,725,6963,470,6629,451,334,111,34449,790,5001600US2402,"Congressional District 2 (116th Congress), Maryland"
398601,3354,193883,2199,155863,2009,133940,2114,5068,1131,128872,1879,124314,1879,4558,423,21923,1007,38020,940,11192,624,10838,633,354,101,26828,863,204718,2194,156266,1934,120286,1897,1288,231,118998,1871,114819,1881,4179,484,35980,1259,48452,949,9114,558,8869,550,245,108,39338,1013,5001600US2403,"Congressional District 3 (116th Congress), Maryland"
177161,2405,86937,1533,68925,1482,59776,1301,2131,372,57645,1271,55654,1286,1991,280,9149,568,18012,570,4921,469,4806,454,115,85,13091,527,90224,1387,68510,1274,53227,1096,372,107,52855,1097,50648,1090,2207,397,15283,725,21714,629,3732,364,3610,353,122,72,17982,676,5001600US2404,"Congressional District 4 (116th Congress), Maryland"
301641,1941,150324,1185,122710,1113,100583,1229,3751,503,96832,1242,93483,1270,3349,440,22127,892,27614,400,6713,405,6532,396,181,71,20901,515,151317,1128,118958,1099,85772,1415,649,216,85123,1366,81787,1348,3336,351,33186,1106,32359,469,5334,376,5230,372,104,65,27025,501,5001600US2405,"Congressional District 5 (116th Congress), Maryland"
