"GEO_ID","NAME","C23002A_001E","C23002A_001M","C23002A_002E","C23002A_002M","C23002A_003E","C23002A_003M","C23002A_004E","C23002A_004M","C23002A_005E","C23002A_005M","C23002A_006E","C23002A_006M","C23002A_007E","C23002A_007M","C23002A_008E","C23002A_008M","C23002A_009E","C23002A_009M","C23002A_010E","C23002A_010M","C23002A_011E","C23002A_011M","C23002A_012E","C23002A_012M","C23002A_013E","C23002A_013M","C23002A_014E","C23002A_014M","C23002A_015E","C23002A_015M","C23002A_016E","C23002A_016M","C23002A_017E","C23002A_017M","C23002A_018E","C23002A_018M","C23002A_019E","C23002A_019M","C23002A_020E","C23002A_020M","C23002A_021E","C23002A_021M","C23002A_022E","C23002A_022M","C23002A_023E","C23002A_023M","C23002A_024E","C23002A_024M","C23002A_025E","C23002A_025M","C23002A_026E","C23002A_026M","C23002A_027E","C23002A_027M"
"0400000US17","Illinois","7489194","7710","3665252","4204","2989441","4117","2459437","6520","10573","776","2448864","6412","2316915","7084","131949","2525","530004","4962","675811","687","153985","1932","149297","1841","4688","427","521826","1960","3823942","4436","2958179","4326","2170787","6052","2045","358","2168742","6019","2064695","6683","104047","2158","787392","5254","865763","805","125254","1679","121184","1698","4070","386","740509","2030"
"0400000US18","Indiana","4463616","3449","2178850","2002","1777551","1996","1425135","4084","2292","400","1422843","4042","1354042","4344","68801","1823","352416","3770","401299","348","87316","1544","85088","1490","2228","253","313983","1539","2284766","2105","1774519","2098","1267998","4341","202","100","1267796","4337","1208930","4501","58866","1629","506521","4315","510247","496","70568","1468","68879","1446","1689","274","439679","1459"
"0400000US19","Iowa","2275184","1879","1116579","1145","895676","1107","748445","2378","1348","242","747097","2362","718324","2383","28773","1231","147231","2246","220903","218","54353","1125","53382","1107","971","155","166550","1097","1158605","1388","880657","1378","688167","2523","120","62","688047","2527","664673","2849","23374","1031","192490","2553","277948","170","41405","1095","40594","1071","811","154","236543","1112"
"0400000US20","Kansas","1952495","2495","960912","1472","780069","1410","644814","2575","12618","615","632196","2631","605492","2751","26704","1188","135255","2345","180843","284","46798","885","45878","891","920","175","134045","895","991583","1473","767188","1514","569283","2291","906","186","568377","2282","546688","2400","21689","920","197905","2573","224395","297","35519","994","34946","1000","573","143","188876","994"
"0400000US21","Kentucky","3128590","2331","1521311","1660","1236515","1609","917280","3256","9570","531","907710","3231","852251","3745","55459","1668","319235","3037","284796","285","54215","1237","52560","1218","1655","257","230581","1247","1607279","1335","1248246","1358","820687","3445","792","245","819895","3447","775022","3741","44873","1483","427559","3514","359033","270","43704","1281","42700","1248","1004","211","315329","1273"
"0400000US22","Louisiana","2356653","2395","1155984","1846","935667","1861","726691","3393","10359","706","716332","3429","677419","3601","38913","1527","208976","3295","220317","427","52541","1323","51348","1301","1193","164","167776","1345","1200669","1334","927101","1229","607751","3879","1124","293","606627","3882","576387","3674","30240","1320","319350","3952","273568","345","37301","1077","36425","1107","876","193","236267","1066"
"0400000US23","Maine","1057633","786","511932","587","396925","587","314889","1563","1557","277","313332","1581","296865","1611","16467","890","82036","1524","115007","96","26357","882","25393","842","964","200","88650","889","545701","503","406846","509","302400","1750","121","53","302279","1741","290846","1881","11433","702","104446","1873","138855","107","22179","849","21582","854","597","121","116676","854"
"0400000US24","Maryland","2783019","3833","1356865","2306","1090581","2183","909196","3094","17261","787","891935","3175","852206","3109","39729","1426","181385","2548","266284","426","73706","1303","71701","1236","2005","291","192578","1361","1426154","2143","1091544","2062","816993","3174","4117","511","812876","3100","777601","3190","35275","1289","274551","2993","334610","462","57745","1361","56187","1307","1558","195","276865","1469"
"0400000US25","Massachusetts","4500202","5459","2156005","3224","1739366","3079","1423244","4190","3611","397","1419633","4262","1343178","4653","76455","2114","316122","4335","416639","571","114525","1577","110129","1535","4396","399","302114","1663","2344197","2941","1796528","2694","1376246","4234","299","106","1375947","4249","1315314","4466","60633","1839","420282","3993","547669","695","99647","1925","96460","1884","3187","381","448022","2004"
"0400000US26","Michigan","6423612","3319","3152141","1947","2520763","1859","1990417","3981","2642","258","1987775","4028","1875174","4660","112601","2290","530346","4074","631378","344","116242","1824","112442","1782","3800","291","515136","1844","3271471","2057","2498786","1887","1758100","4477","511","103","1757589","4482","1671776","4845","85813","1886","740686","4492","772685","428","89809","1467","87292","1497","2517","241","682876","1561"
