"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"5001600US4836","Congressional District 36 (116th Congress), Texas","381200","2483","57307","1829","32699","1341","0","31","32699","1341","30133","1237","2566","419","24608","1104","122872","2594","83531","2240","17","25","83514","2244","77460","2165","6054","705","39341","1458","130068","2766","98178","2423","382","173","97796","2410","92045","2190","5751","700","31890","1304","70953","2374","59218","2079","47","50","59171","2077","57347","2104","1824","341","11735","804"
"5001600US4902","Congressional District 2 (116th Congress), Utah","368613","1769","36768","1420","26035","1305","0","27","26035","1305","24373","1279","1662","382","10733","758","86074","1924","64211","1699","97","61","64114","1684","60847","1547","3267","520","21863","1090","126118","2011","96822","1966","225","121","96597","1973","93491","1902","3106","437","29296","1083","119653","2031","99958","2040","94","49","99864","2041","97846","1982","2018","366","19695","914"
"5001600US5000","Congressional District (at Large) (116th Congress), Vermont","326145","454","20204","1147","11764","774","24","26","11740","782","10662","738","1078","204","8440","713","92907","1526","72318","1321","91","54","72227","1318","69115","1273","3112","363","20589","839","88693","1561","72069","1327","213","82","71856","1322","69782","1295","2074","263","16624","812","124341","1874","109794","1876","126","55","109668","1873","107316","1831","2352","305","14547","676"
"5001600US5102","Congressional District 2 (116th Congress), Virginia","391139","1364","26027","1503","17097","1221","158","108","16939","1228","15635","1231","1304","277","8930","712","85326","1881","65507","1753","3753","430","61754","1718","58026","1673","3728","542","19819","891","142908","2228","117316","2047","13364","817","103952","2055","99095","1967","4857","543","25592","1029","136878","2126","118266","1944","9104","686","109162","1828","106366","1845","2796","356","18612","882"
"5001600US5105","Congressional District 5 (116th Congress), Virginia","374597","931","40679","1468","21823","979","0","28","21823","979","19521","926","2302","344","18856","1050","110434","2012","77083","1936","90","70","76993","1952","73812","1958","3181","410","33351","1328","113823","1953","89040","1724","233","88","88807","1711","85220","1723","3587","473","24783","1086","109661","2240","92360","2024","349","112","92011","2036","90193","2092","1818","306","17301","845"
"5001600US5107","Congressional District 7 (116th Congress), Virginia","416196","1617","33232","1479","21106","1270","0","28","21106","1270","19493","1178","1613","311","12126","797","97255","2134","73747","1808","83","60","73664","1803","69906","1872","3758","416","23508","1076","116132","2301","94911","2212","351","137","94560","2220","90836","2199","3724","494","21221","866","169577","2532","147601","2388","616","183","146985","2412","143941","2448","3044","338","21976","917"
"5001600US5110","Congressional District 10 (116th Congress), Virginia","446626","1631","30478","1561","22649","1391","19","31","22630","1389","21643","1392","987","250","7829","652","66048","2134","52732","1896","81","61","52651","1901","50361","1917","2290","314","13316","825","94308","1910","77755","1830","486","159","77269","1823","74815","1814","2454","349","16553","905","255792","2716","223344","2599","1897","282","221447","2611","215268","2609","6179","541","32448","1161"
"5001600US5402","Congressional District 2 (116th Congress), West Virginia","328293","490","34696","1338","15401","887","0","27","15401","887","13412","819","1989","340","19295","1038","129393","2530","86138","1997","42","43","86096","1986","80696","1942","5400","599","43255","1485","90441","1901","69294","1540","274","108","69020","1551","65650","1613","3370","423","21147","1062","73763","2046","63345","1883","324","145","63021","1882","61742","1905","1279","224","10418","725"
"5001600US5301","Congressional District 1 (116th Congress), Washington","417070","2527","23593","1218","15263","1015","0","28","15263","1015","14131","970","1132","253","8330","711","76110","1948","56364","1805","71","45","56293","1805","53441","1678","2852","394","19746","975","129190","2187","102086","2176","203","94","101883","2158","98135","2120","3748","425","27104","1097","188177","2495","157621","2052","252","112","157369","2029","153631","1999","3738","407","30556","1114"
"5001600US5304","Congressional District 4 (116th Congress), Washington","348438","627","74277","1526","52133","1177","0","28","52133","1177","48282","1116","3851","539","22144","1098","92429","2352","67699","2009","134","75","67565","2020","63863","1899","3702","449","24730","1045","112075","2086","85270","1860","202","147","85068","1865","81954","1868","3114","414","26805","1087","69657","1820","59188","1483","107","84","59081","1480","57974","1437","1107","251","10469","692"
"5001600US5306","Congressional District 6 (116th Congress), Washington","366142","1763","28041","1376","15457","980","0","28","15457","980","13824","970","1633","309","12584","930","90400","1863","60910","1703","1284","246","59626","1676","55258","1644","4368","620","29490","1206","142006","2104","103322","1839","4593","461","98729","1947","94144","1856","4585","499","38684","1329","105695","1856","85543","1661","2362","309","83181","1618","80641","1667","2540","330","20152","829"
"5001600US5309","Congressional District 9 (116th Congress), Washington","422088","2527","41056","1813","28039","1430","0","28","28039","1430","26235","1364","1804","319","13017","1072","77346","2086","58736","2057","56","75","58680","2051","55261","1972","3419","460","18610","980","118476","2320","96619","1995","91","55","96528","2003","91567","1946","4961","473","21857","1041","185210","2618","159513","2491","217","91","159296","2468","154254","2423","5042","500","25697","850"
"5001600US5501","Congressional District 1 (116th Congress), Wisconsin","381664","1114","28172","1089","17673","869","0","20","17673","869","16188","823","1485","266","10499","698","107836","2267","83043","2102","90","47","82953","2099","78757","2133","4196","463","24793","983","130962","2097","108163","1969","231","110","107932","1972","103630","1845","4302","403","22799","976","114694","1962","100838","1910","181","83","100657","1908","98545","1894","2112","324","13856","677"
"5001600US5504","Congressional District 4 (116th Congress), Wisconsin","370123","1124","50440","1508","28531","1192","0","20","28531","1192","25405","1115","3126","380","21909","941","101859","2083","71639","1593","0","20","71639","1593","65834","1553","5805","508","30220","1265","111736","2222","89388","2126","136","77","89252","2123","83577","2118","5675","549","22348","854","106088","2103","94610","1964","25","18","94585","1966","92220","1974","2365","339","11478","592"
"5001600US5506","Congressional District 6 (116th Congress), Wisconsin","372284","622","24410","1022","15134","818","0","20","15134","818","14171","766","963","213","9276","471","117369","1749","90987","1577","12","11","90975","1576","87480","1500","3495","363","26382","766","128742","1776","106598","1802","132","62","106466","1795","103499","1766","2967","299","22144","751","101763","1967","89376","1844","86","46","89290","1842","87933","1803","1357","231","12387","657"
"5001600US5600","Congressional District (at Large) (116th Congress), Wyoming","301514","705","19655","849","13221","741","0","28","13221","741","11685","721","1536","290","6434","577","84325","1925","65473","1806","69","53","65404","1799","62096","1749","3308","470","18852","1085","115689","1979","93963","1862","925","264","93038","1841","89886","1810","3152","451","21726","805","81845","1905","70832","1692","817","184","70015","1644","68629","1595","1386","214","11013","706"
