"GEO_ID","NAME","B23006_001E","B23006_001M","B23006_002E","B23006_002M","B23006_003E","B23006_003M","B23006_004E","B23006_004M","B23006_005E","B23006_005M","B23006_006E","B23006_006M","B23006_007E","B23006_007M","B23006_008E","B23006_008M","B23006_009E","B23006_009M","B23006_010E","B23006_010M","B23006_011E","B23006_011M","B23006_012E","B23006_012M","B23006_013E","B23006_013M","B23006_014E","B23006_014M","B23006_015E","B23006_015M","B23006_016E","B23006_016M","B23006_017E","B23006_017M","B23006_018E","B23006_018M","B23006_019E","B23006_019M","B23006_020E","B23006_020M","B23006_021E","B23006_021M","B23006_022E","B23006_022M","B23006_023E","B23006_023M","B23006_024E","B23006_024M","B23006_025E","B23006_025M","B23006_026E","B23006_026M","B23006_027E","B23006_027M","B23006_028E","B23006_028M","B23006_029E","B23006_029M"
"0400000US54","West Virginia","947365","848","101794","2496","38983","1561","0","27","38983","1561","33685","1459","5298","538","62811","1923","377517","4139","237609","3205","74","53","237535","3202","221318","3039","16217","1031","139908","2454","261726","3581","190103","2627","452","132","189651","2620","179556","2494","10095","746","71623","1876","206328","3508","173216","3173","444","156","172772","3170","169056","3143","3716","395","33112","1341"
"0400000US53","Washington","3928444","967","339391","4440","219182","3714","54","46","219128","3720","201686","3463","17442","1111","120209","2817","838747","7462","608746","5911","4367","459","604379","5900","569036","5586","35343","1325","230001","3753","1334899","6920","1031584","6463","15790","964","1015794","6399","970176","6385","45618","1586","303315","3754","1415407","9284","1206708","8595","10003","790","1196705","8447","1163766","8251","32939","1416","208699","2217"
"0400000US55","Wisconsin","3006194","880","210520","3281","128674","2462","6","7","128668","2462","118474","2390","10194","663","81846","1952","843466","6108","651907","5030","320","154","651587","5072","623004","4893","28583","1004","191559","2624","1009700","4890","839529","4374","1285","246","838244","4428","810082","4371","28162","961","170171","2279","942508","7517","833441","6995","895","173","832546","6993","818104","7029","14442","740","109067","1914"
"0400000US56","Wyoming","301514","705","19655","849","13221","741","0","28","13221","741","11685","721","1536","290","6434","577","84325","1925","65473","1806","69","53","65404","1799","62096","1749","3308","470","18852","1085","115689","1979","93963","1862","925","264","93038","1841","89886","1810","3152","451","21726","805","81845","1905","70832","1692","817","184","70015","1644","68629","1595","1386","214","11013","706"
"0400000US72","Puerto Rico","1723775","*****","281758","4298","95510","2469","0","32","95510","2469","67592","2045","27918","1493","186248","3705","490366","4755","262740","3555","113","86","262627","3546","211513","3382","51114","1582","227626","3623","451649","4526","299716","3635","647","234","299069","3644","256062","3410","43007","1620","151933","2966","500002","5287","389202","4870","672","173","388530","4874","360721","4927","27809","1434","110800","2526"
"0400000US01","Alabama","2516126","1141","316688","5260","154053","3376","27","29","154026","3371","135860","3066","18166","1116","162635","3625","747282","6368","490535","5261","1008","285","489527","5313","456084","5263","33443","1509","256747","4209","796890","6485","599396","5496","4246","398","595150","5365","564832","5300","30318","1381","197494","3528","655266","7063","552004","6273","4824","502","547180","6265","534470","6227","12710","766","103262","2263"
"0400000US02","Alaska","399299","489","25179","938","14933","800","7","11","14926","799","12852","756","2074","284","10246","634","114319","2086","83873","1838","1254","206","82619","1854","74252","1685","8367","641","30446","1043","144441","2463","116505","2287","4997","436","111508","2137","105240","2097","6268","547","27936","927","115360","1975","99892","1937","3360","375","96532","1928","94353","1876","2179","358","15468","729"
"0400000US04","Arizona","3475612","673","462128","5297","277416","4004","28","29","277388","4006","252548","3898","24840","1226","184712","3430","812088","6957","563083","5717","1174","221","561909","5736","522228","5718","39681","1404","249005","3889","1196266","6866","910770","6388","6192","538","904578","6375","858738","6043","45840","1347","285496","3762","1005130","7641","838392","6677","3907","421","834485","6644","810202","6670","24283","1089","166738","2909"
"0400000US05","Arkansas","1511771","1202","182005","3235","98875","2542","30","30","98845","2541","90523","2403","8322","764","83130","2298","503932","4500","337583","3673","200","106","337383","3668","318704","3720","18679","1201","166349","3150","469024","4420","352757","4009","1643","325","351114","3986","335611","3909","15503","899","116267","2105","356810","5124","302293","4987","1219","231","301074","4929","295364","4842","5710","522","54517","1852"
"0400000US06","California","20903428","1240","3405116","16814","2224268","12387","170","86","2224098","12373","2041300","11390","182798","3703","1180848","8735","4273011","22310","3114182","17736","12082","897","3102100","17788","2879355","17262","222745","3583","1158829","9335","6147614","18459","4782688","16613","33157","1318","4749531","16543","4473948","16398","275583","4001","1364926","8258","7077687","32093","6048480","29656","23869","961","6024611","29306","5803782","28533","220829","3334","1029207","7230"
"0400000US08","Colorado","3007954","967","250952","4182","168037","3347","51","45","167986","3349","157257","3289","10729","783","82915","2231","622010","5921","465383","5165","2132","302","463251","5218","439328","5047","23923","1141","156627","2505","904424","5268","728194","4754","9164","731","719030","4627","689525","4655","29505","1245","176230","2723","1230568","7405","1067813","6976","7793","692","1060020","6887","1032410","6828","27610","1203","162755","2312"
"0400000US09","Connecticut","1891128","413","149645","2778","95306","2264","28","44","95278","2268","84094","2166","11184","767","54339","1690","482110","5397","372396","4404","708","187","371688","4390","342084","4172","29604","1415","109714","2469","482520","4349","401934","4013","2089","335","399845","4013","377292","4078","22553","1053","80586","1686","776853","5977","679046","5750","1580","247","677466","5746","657027","5626","20439","1044","97807","1575"
"0400000US10","Delaware","492850","241","46193","1630","27665","1251","0","27","27665","1251","25190","1193","2475","345","18528","821","149606","2536","109744","2338","222","108","109522","2347","101815","2323","7707","613","39862","1373","136423","2303","110610","2292","1407","342","109203","2215","104117","2163","5086","621","25813","1108","160628","2259","139851","2346","699","158","139152","2387","135137","2363","4015","460","20777","989"
"0400000US11","District of Columbia","405269","140","32299","1426","19666","1035","0","29","19666","1035","16929","943","2737","411","12633","996","65060","1816","43659","1552","53","41","43606","1550","36648","1352","6958","675","21401","1133","62465","1932","47819","1605","424","126","47395","1578","41999","1525","5396","507","14646","1061","245445","1786","225659","1759","1679","269","223980","1769","217250","1922","6730","613","19786","996"
