"C23002B_001E","C23002B_001M","C23002B_002E","C23002B_002M","C23002B_003E","C23002B_003M","C23002B_004E","C23002B_004M","C23002B_005E","C23002B_005M","C23002B_006E","C23002B_006M","C23002B_007E","C23002B_007M","C23002B_008E","C23002B_008M","C23002B_009E","C23002B_009M","C23002B_010E","C23002B_010M","C23002B_011E","C23002B_011M","C23002B_012E","C23002B_012M","C23002B_013E","C23002B_013M","C23002B_014E","C23002B_014M","C23002B_015E","C23002B_015M","C23002B_016E","C23002B_016M","C23002B_017E","C23002B_017M","C23002B_018E","C23002B_018M","C23002B_019E","C23002B_019M","C23002B_020E","C23002B_020M","C23002B_021E","C23002B_021M","C23002B_022E","C23002B_022M","C23002B_023E","C23002B_023M","C23002B_024E","C23002B_024M","C23002B_025E","C23002B_025M","C23002B_026E","C23002B_026M","C23002B_027E","C23002B_027M","GEO_ID","NAME"
"2595275","5668","1225786","3739","1070519","3497","747471","4166","6549","678","740922","4285","666165","4737","74757","2319","323048","3999","155267","905","29971","1322","28370","1282","1601","291","125296","1537","1369489","3508","1154169","3252","837167","4165","1940","333","835227","4195","764397","4646","70830","2994","317002","4307","215320","1243","30504","1192","28381","1140","2123","360","184816","1572","0400000US12","Florida"
"2539058","4445","1157963","2841","1028381","2863","717463","4199","8015","826","709448","4294","644619","4402","64829","2395","310918","3820","129582","546","24619","996","23342","951","1277","242","104963","1112","1381095","2870","1183528","2741","864565","3800","2066","365","862499","3795","790626","4344","71873","2799","318963","3766","197567","589","27858","1106","26137","1083","1721","303","169709","1133","0400000US13","Georgia"
"22001","728","14288","503","13458","489","11628","523","4888","498","6740","521","6200","513","540","174","1830","311","830","111","293","83","280","84","13","21","537","106","7713","419","7177","404","5422","423","1116","262","4306","398","3794","398","512","169","1755","233","536","98","82","58","82","58","0","27","454","105","0400000US15","Hawaii"
"8317","595","5323","423","4853","421","3409","412","205","87","3204","424","2997","387","207","121","1444","327","470","151","162","101","143","82","19","30","308","131","2994","363","2728","345","1855","322","25","44","1830","331","1624","337","206","107","873","236","266","97","56","45","40","39","16","21","210","91","0400000US16","Idaho"
"1420485","2898","652384","2229","564676","2161","375263","2716","2216","412","373047","2737","312887","2552","60160","1978","189413","2678","87708","385","13732","726","12863","718","869","212","73976","756","768101","1770","630656","1738","452863","3153","678","219","452185","3116","393128","3358","59057","1915","177793","3095","137445","464","19836","860","18604","812","1232","229","117609","882","0400000US17","Illinois"
"472270","2412","223115","1506","197419","1502","131696","1911","216","108","131480","1923","115902","1944","15578","1114","65723","1885","25696","303","4489","382","4147","388","342","88","21207","458","249155","1521","211514","1545","154011","2054","56","83","153955","2053","138600","2082","15355","1213","57503","1703","37641","268","5869","536","5447","537","422","139","31772","591","0400000US18","Indiana"
"82179","1334","44777","910","41832","916","30979","944","57","56","30922","937","27496","970","3426","512","10853","660","2945","185","756","194","699","195","57","32","2189","197","37402","769","34007","783","24939","842","0","23","24939","842","22413","894","2526","382","9068","687","3395","169","466","140","435","132","31","27","2929","199","0400000US19","Iowa"
"130289","1239","68085","788","60908","800","43929","865","2566","318","41363","869","38022","948","3341","407","16979","791","7177","246","1729","285","1671","275","58","39","5448","363","62204","889","52445","888","38858","940","345","124","38513","940","35522","973","2991","443","13587","614","9759","238","1686","207","1572","219","114","71","8073","302","0400000US20","Kansas"
"279062","1506","138010","1108","122428","1192","84208","1399","1805","294","82403","1382","74199","1510","8204","897","38220","1231","15582","377","3129","372","2991","361","138","96","12453","470","141052","1060","118340","988","87308","1318","442","155","86866","1335","78768","1393","8098","758","31032","1176","22712","401","3736","380","3527","381","209","113","18976","508","0400000US21","Kentucky"
"1144894","2092","531306","1376","461614","1408","285723","2634","2573","413","283150","2765","247823","3271","35327","1789","175891","2718","69692","303","12081","687","11743","678","338","117","57611","654","613588","1451","512905","1388","348599","2635","1001","271","347598","2671","318120","2596","29478","1362","164306","2542","100683","329","14866","731","14202","687","664","200","85817","786","0400000US22","Louisiana"
